Frequency,Channel B
(kHz),(dBu)

0.00000000,-30.37827000
0.04768372,-37.59644000
0.09536743,-55.24637000
0.14305115,-45.53537000
0.19073486,-45.87404000
0.23841858,-50.41639000
0.28610229,-50.92883000
0.33378601,-51.60577000
0.38146973,-53.23796000
0.42915344,-48.95909000
0.47683716,-45.70316000
0.52452087,-48.84045000
0.57220459,-58.52542000
0.61988831,-55.20332000
0.66757202,-49.85724000
0.71525574,-52.09921000
0.76293945,-67.84963000
0.81062317,-50.97446000
0.85830688,-51.38623000
0.90599060,-55.96959000
0.95367432,-57.28569000
1.00135803,-57.87344000
1.04904175,-56.99339000
1.09672546,-56.98417000
1.14440918,-53.44646000
1.19209290,-49.19484000
1.23977661,-50.83399000
1.28746033,-62.77847000
1.33514404,-55.38290000
1.38282776,-57.11863000
1.43051147,-58.92741000
1.47819519,-53.91367000
1.52587891,-56.76281000
1.57356262,-60.61903000
1.62124634,-71.28539000
1.66893005,-61.33886000
1.71661377,-57.32991000
1.76429749,-53.06802000
1.81198120,-51.46498000
1.85966492,-50.57834000
1.90734863,-53.70344000
1.95503235,-58.62138000
2.00271606,-58.86433000
2.05039978,-59.71167000
2.09808350,-64.54406000
2.14576721,-59.64529000
2.19345093,-55.88811000
2.24113464,-56.22571000
2.28881836,-57.04794000
2.33650208,-59.00548000
2.38418579,-58.37379000
2.43186951,-52.65604000
2.47955322,-54.41296000
2.52723694,-54.77632000
2.57492065,-59.03563000
2.62260437,-57.38908000
2.67028809,-51.30632000
2.71797180,-53.27068000
2.76565552,-57.86820000
2.81333923,-53.21279000
2.86102295,-54.86767000
2.90870667,-58.63987000
2.95639038,-70.20256000
3.00407410,-66.12281000
3.05175781,-73.29021000
3.09944153,-59.53142000
3.14712524,-52.76965000
3.19480896,-50.22739000
3.24249268,-49.95371000
3.29017639,-52.42306000
3.33786011,-63.51801000
3.38554382,-54.13064000
3.43322754,-53.26878000
3.48091125,-60.46711000
3.52859497,-50.42042000
3.57627869,-51.17569000
3.62396240,-51.16486000
3.67164612,-48.80067000
3.71932983,-50.47711000
3.76701355,-52.17831000
3.81469727,-54.39387000
3.86238098,-82.87422000
3.91006470,-53.48468000
3.95774841,-55.17481000
4.00543213,-56.98897000
4.05311584,-53.74544000
4.10079956,-57.96291000
4.14848328,-59.51019000
4.19616699,-53.97520000
4.24385071,-55.41936000
4.29153442,-56.44085000
4.33921814,-54.82994000
4.38690186,-76.00201000
4.43458557,-57.01591000
4.48226929,-56.82275000
4.52995300,-52.23425000
4.57763672,-49.88074000
4.62532043,-57.28216000
4.67300415,-53.14621000
4.72068787,-50.18088000
4.76837158,-49.12286000
4.81605530,-56.98006000
4.86373901,-53.10040000
4.91142273,-68.53539000
4.95910645,-61.47106000
5.00679016,-65.58297000
5.05447388,-52.09385000
5.10215759,-49.57683000
5.14984131,-45.86182000
5.19752502,-51.23268000
5.24520874,-52.55568000
5.29289246,-56.10820000
5.34057617,-49.72130000
5.38825989,-63.26515000
5.43594360,-81.85258000
5.48362732,-52.50117000
5.53131104,-54.97926000
5.57899475,-64.22617000
5.62667847,-49.95737000
5.67436218,-48.90564000
5.72204590,-48.62873000
5.76972961,-50.10131000
5.81741333,-53.03558000
5.86509705,-50.50240000
5.91278076,-48.68892000
5.96046448,-54.16464000
6.00814819,-66.63307000
6.05583191,-48.34486000
6.10351563,-50.12181000
6.15119934,-48.78541000
6.19888306,-55.36739000
6.24656677,-44.54994000
6.29425049,-53.17184000
