Time (ms),Channel A (mV),Channel B (V)
-9.01119907,-8.26441300,-0.73854790
-9.00607907,-8.26441300,-0.73854790
-9.00095907,-8.26441300,-0.73854790
-8.99583907,-8.26441300,-0.73854790
-8.99071907,-8.26441300,-0.74733730
-8.98559907,-8.26441300,-0.73854790
-8.98047907,-6.51875400,-0.74733730
-8.97535907,-6.51875400,-0.74733730
-8.97023907,-4.77309500,-0.74733730
-8.96511907,-6.51875400,-0.74733730
-8.95999907,-4.77309500,-0.74733730
-8.95487907,-6.51875400,-0.74733730
-8.94975907,-4.77309500,-0.74733730
-8.94463907,-4.77309500,-0.74733730
-8.93951907,-4.77309500,-0.74733730
-8.93439907,-4.77309500,-0.74733730
-8.92927907,-4.77309500,-0.75612660
-8.92415907,-4.77309500,-0.75612660
-8.91903907,-4.77309500,-0.75612660
-8.91391907,-4.77309500,-0.75612660
-8.90879907,-3.02133300,-0.75612660
-8.90367907,-3.02133300,-0.75612660
-8.89855907,-3.02133300,-0.74733730
-8.89343907,-1.27567400,-0.75612660
-8.88831907,-1.27567400,-0.75612660
-8.88319907,-1.27567400,-0.74733730
-8.87807907,-1.27567400,-0.74733730
-8.87295907,-1.27567400,-0.74733730
-8.86783907,-1.27567400,-0.74733730
-8.86271907,-1.27567400,-0.75612660
-8.85759907,-1.27567400,-0.75612660
-8.85247907,-1.27567400,-0.74733730
-8.84735907,0.46998500,-0.75612660
-8.84223907,-1.27567400,-0.75612660
-8.83711907,0.46998500,-0.74733730
-8.83199908,2.21564400,-0.74733730
-8.82687908,2.21564400,-0.74733730
-8.82175908,2.21564400,-0.74733730
-8.81663908,2.21564400,-0.74733730
-8.81151908,2.21564400,-0.74733730
-8.80639908,2.21564400,-0.74733730
-8.80127908,2.21564400,-0.74733730
-8.79615908,3.96130300,-0.74733730
-8.79103908,2.21564400,-0.74733730
-8.78591908,3.96130300,-0.74733730
-8.78079908,2.21564400,-0.74733730
-8.77567908,3.96130300,-0.74733730
-8.77055908,3.96130300,-0.73854790
-8.76543908,3.96130300,-0.73854790
-8.76031908,3.96130300,-0.73854790
-8.75519908,5.70696100,-0.73854790
-8.75007908,5.70696100,-0.72975860
-8.74495908,5.70696100,-0.72975860
-8.73983908,5.70696100,-0.72096930
-8.73471908,5.70696100,-0.72096930
-8.72959908,5.70696100,-0.72096930
-8.72447908,5.70696100,-0.72096930
-8.71935908,7.45262000,-0.72096930
-8.71423908,9.20438300,-0.71221050
-8.70911908,7.45262000,-0.71221050
-8.70399908,9.20438300,-0.71221050
-8.69887908,9.20438300,-0.70342110
-8.69375908,9.20438300,-0.71221050
-8.68863908,9.20438300,-0.71221050
-8.68351908,9.20438300,-0.70342110
-8.67839908,9.20438300,-0.70342110
-8.67327908,9.20438300,-0.69463180
-8.66815908,9.20438300,-0.69463180
-8.66303908,9.20438300,-0.68584250
-8.65791908,9.20438300,-0.68584250
-8.65279908,9.20438300,-0.67705320
-8.64767908,9.20438300,-0.67705320
-8.64255908,10.95004000,-0.67705320
-8.63743908,10.95004000,-0.67705320
-8.63231908,10.95004000,-0.66826380
-8.62719908,12.69570000,-0.66826380
-8.62207908,12.69570000,-0.66826380
-8.61695908,12.69570000,-0.66826380
-8.61183908,12.69570000,-0.65947450
-8.60671908,12.69570000,-0.65068510
-8.60159908,12.69570000,-0.64189580
-8.59647908,14.44746000,-0.64189580
-8.59135908,14.44746000,-0.64189580
-8.58623908,12.69570000,-0.63310650
-8.58111908,14.44746000,-0.63310650
-8.57599908,16.19312000,-0.63310650
-8.57087908,14.44746000,-0.63310650
-8.56575908,16.19312000,-0.61552780
-8.56063908,16.19312000,-0.61552780
-8.55551908,16.19312000,-0.61552780
-8.55039908,16.19312000,-0.60673850
-8.54527908,16.19312000,-0.60673850
-8.54015908,16.19312000,-0.59794910
-8.53503908,16.19312000,-0.59794910
-8.52991908,16.19312000,-0.58915980
-8.52479908,16.19312000,-0.58037050
-8.51967908,16.19312000,-0.58037050
-8.51455908,17.93878000,-0.57161170
-8.50943908,17.93878000,-0.57161170
-8.50431908,16.19312000,-0.57161170
-8.49919908,17.93878000,-0.56282230
-8.49407908,17.93878000,-0.56282230
-8.48895908,19.69054000,-0.55403300
-8.48383908,19.69054000,-0.54524370
-8.47871908,19.69054000,-0.54524370
-8.47359908,19.69054000,-0.53645440
-8.46847908,19.69054000,-0.52766500
-8.46335908,19.69054000,-0.52766500
-8.45823908,19.69054000,-0.51887570
-8.45311908,19.69054000,-0.51008640
-8.44799908,19.69054000,-0.51008640
-8.44287908,19.69054000,-0.50129710
-8.43775908,19.69054000,-0.50129710
-8.43263908,19.69054000,-0.49250770
-8.42751908,19.69054000,-0.49250770
-8.42239908,21.43620000,-0.48371840
-8.41727908,21.43620000,-0.48371840
-8.41215908,21.43620000,-0.47492900
-8.40703908,23.18186000,-0.46613970
-8.40191908,23.18186000,-0.45735040
-8.39679908,21.43620000,-0.45735040
-8.39167908,23.18186000,-0.44856100
-8.38655908,23.18186000,-0.43977170
-8.38143908,23.18186000,-0.43977170
-8.37631908,23.18186000,-0.43101290
-8.37119908,23.18186000,-0.42222360
-8.36607908,23.18186000,-0.43101290
-8.36095908,23.18186000,-0.41343420
-8.35583908,23.18186000,-0.40464490
-8.35071908,23.18186000,-0.39585560
-8.34559908,23.18186000,-0.39585560
