Time,Channel B
(ms),(V)

-0.00047400,-0.08056886
0.00080600,0.00991852
0.00208600,0.10025330
0.00336600,0.19058810
0.00464600,0.28107550
0.00592600,0.41673030
0.00720600,0.46205020
0.00848600,0.55238500
0.00976600,0.68819240
0.01104600,0.73335980
0.01232600,0.86901460
0.01360600,0.91433450
0.01488600,1.04998900
0.01616600,1.09515700
0.01744600,1.23081100
0.01872600,1.32129900
0.02000600,1.41178600
0.02128600,1.50227400
0.02256600,1.59260800
0.02384600,1.63792800
0.02512600,1.77358300
0.02640600,1.81875100
0.02768600,1.90923800
0.02896600,1.99972500
0.03024600,2.09021300
0.03152600,2.18054700
0.03280600,2.27103500
0.03408600,2.36152200
0.03536600,2.40669000
0.03664600,2.49717700
0.03792600,2.58766400
0.03920600,2.63283200
0.04048600,2.72331900
0.04176600,2.76863900
0.04304600,2.85897400
0.04432600,2.94946100
0.04560600,2.99478100
0.04688600,3.08511600
0.04816600,3.13043600
0.04944600,3.22077100
0.05072600,3.26609100
0.05200600,3.31125800
0.05328600,3.40174600
0.05456600,3.44691300
0.05584600,3.49223300
0.05712600,3.53740000
0.05840600,3.58272100
0.05968600,3.62788800
0.06096600,3.67305500
0.06224600,3.71837500
0.06352600,3.76354300
0.06480600,3.80886300
0.06608600,3.85403000
0.06736600,3.85403000
0.06864600,3.89919700
0.06992600,3.94451700
0.07120600,3.94451700
0.07248600,3.98968500
0.07376600,3.98968500
0.07504600,4.03485200
0.07632600,4.03485200
0.07760600,4.08017200
0.07888600,4.03485200
0.08016600,4.08017200
0.08144600,4.08017200
0.08272600,4.08017200
0.08400600,4.08017200
0.08528600,4.08017200
0.08656600,4.08017200
0.08784600,4.03485200
0.08912600,4.03485200
0.09040600,3.98968500
0.09168600,3.98968500
0.09296600,3.98968500
0.09424600,3.98968500
0.09552600,3.94451700
0.09680600,3.89919700
0.09808600,3.89919700
0.09936600,3.89919700
0.10064600,3.80886300
0.10192600,3.80886300
0.10320600,3.76354300
0.10448600,3.71837500
0.10576600,3.67305500
0.10704600,3.62788800
0.10832600,3.58272100
0.10960600,3.49223300
0.11088600,3.44691300
0.11216600,3.40174600
0.11344600,3.35657800
0.11472600,3.26609100
0.11600600,3.17560300
0.11728600,3.13043600
0.11856600,3.08511600
0.11984600,2.99478100
0.12112600,2.94946100
0.12240600,2.85897400
0.12368600,2.76863900
0.12496600,2.72331900
0.12624600,2.63283200
0.12752600,2.54249700
0.12880600,2.45201000
0.13008600,2.36152200
0.13136600,2.27103500
0.13264600,2.18054700
0.13392600,2.09021300
0.13520600,1.99972500
0.13648600,1.90923800
0.13776600,1.81875100
0.13904600,1.68309600
0.14032600,1.59260800
0.14160600,1.50227400
0.14288600,1.41178600
0.14416600,1.32129900
0.14544600,1.18564400
0.14672600,1.09515700
0.14800600,1.00466900
0.14928600,0.91433450
0.15056600,0.77852720
0.15184600,0.68819240
0.15312600,0.55238500
0.15440600,0.46205020
0.15568600,0.37156280
0.15696600,0.23590810
0.15824600,0.14542070
0.15952600,0.00991852
0.16080600,-0.08056886
0.16208600,-0.17105620
