Time,Channel A
(ms),(V)

-25.00747773,-0.50117500
-25.00247773,-0.50032040
-24.99747773,0.50575270
-24.99247773,0.50364700
-24.98747773,0.50028990
-24.98247773,0.50190740
-24.97747773,0.50102240
-24.97247773,0.50202950
-24.96747773,0.49952700
-24.96247773,0.49940490
-24.95747773,0.49964900
-24.95247773,0.49940490
-24.94747773,0.50151070
-24.94247774,0.50016780
-24.93747774,0.49867250
-24.93247774,0.49952700
-24.92747774,0.49851980
-24.92247774,0.49989320
-24.91747774,0.50263980
-24.91247774,0.50077820
-24.90747774,0.49977110
-24.90247774,0.50300610
-24.89747774,-0.50651570
-24.89247774,-0.49992370
-24.88747774,-0.50141910
-24.88247774,-0.50254830
-24.87747774,-0.50044250
-24.87247774,-0.50181590
-24.86747774,-0.50181590
-24.86247774,-0.49870300
-24.85747774,-0.50056460
-24.85247774,-0.50093080
-24.84747774,-0.49882500
-24.84247774,-0.49992370
-24.83747774,-0.49967960
-24.83247774,-0.50129710
-24.82747774,-0.50044250
-24.82247774,-0.50068660
-24.81747774,-0.50117500
-24.81247774,-0.50068660
-24.80747774,-0.50032040
-24.80247774,-0.50129710
-24.79747774,0.50648520
-24.79247774,0.50215150
-24.78747774,0.50016780
-24.78247774,0.50364700
-24.77747774,0.50138860
-24.77247774,0.50028990
-24.76747774,0.50090030
-24.76247774,0.50090030
-24.75747774,0.50102240
-24.75247774,0.49916070
-24.74747774,0.50126650
-24.74247774,0.50065610
-24.73747774,0.50102240
-24.73247774,0.50053410
-24.72747774,0.50114450
-24.72247774,0.50151070
-24.71747774,0.50053410
-24.71247774,0.49778740
-24.70747774,0.50090030
-24.70247774,0.49928280
-24.69747774,-0.50614950
-24.69247774,-0.50068660
-24.68747774,-0.49955750
-24.68247774,-0.49882500
-24.67747774,-0.49894710
-24.67247774,-0.50105290
-24.66747774,-0.50117500
-24.66247774,-0.49992370
-24.65747774,-0.50032040
-24.65247774,-0.49906920
-24.64747774,-0.50105290
-24.64247774,-0.49870300
-24.63747774,-0.50193790
-24.63247774,-0.49955750
-24.62747774,-0.49882500
-24.62247774,-0.49894710
-24.61747774,-0.49919130
-24.61247774,-0.49931330
-24.60747774,-0.49919130
-24.60247774,-0.49919130
-24.59747774,0.50575270
-24.59247774,0.50001530
-24.58747774,0.49891660
-24.58247774,0.49867250
-24.57747774,0.49964900
-24.57247774,0.50288400
-24.56747774,0.49928280
-24.56247774,0.50065610
-24.55747774,0.49940490
-24.55247774,0.49928280
-24.54747775,0.50077820
-24.54247775,0.50028990
-24.53747775,0.50239570
-24.53247775,0.50239570
-24.52747775,0.49940490
-24.52247775,0.50276190
-24.51747775,0.50041200
-24.51247775,0.49940490
-24.50747775,0.50114450
-24.50247775,0.49851980
-24.49747775,-0.50477610
-24.49247775,-0.50004580
-24.48747775,-0.50154120
-24.48247775,-0.50044250
-24.47747775,-0.50044250
-24.47247775,-0.49967960
-24.46747775,-0.50019840
-24.46247775,-0.50044250
-24.45747775,-0.49806210
-24.45247775,-0.49882500
-24.44747775,-0.50044250
-24.44247775,-0.50129710
