Frequency,Channel B
(kHz),(dBu)

0.00000000,-31.78247000
0.09536743,-37.65911000
0.19073486,-46.67917000
0.28610229,-51.93372000
0.38146973,-59.30781000
0.47683716,-51.49479000
0.57220459,-51.22666000
0.66757202,-57.79644000
0.76293945,-57.02755000
0.85830688,-50.57824000
0.95367432,-48.02639000
1.04904175,-45.42082000
1.14440918,-45.31321000
1.23977661,-47.07661000
1.33514404,-49.00374000
1.43051147,-49.30070000
1.52587891,-50.28845000
1.62124634,-50.67268000
1.71661377,-50.65005000
1.81198120,-55.17922000
1.90734863,-63.85568000
2.00271606,-67.56081000
2.09808350,-59.79750000
2.19345093,-53.51199000
2.28881836,-51.61823000
2.38418579,-50.81902000
2.47955322,-52.66366000
2.57492065,-51.31911000
2.67028809,-48.62122000
2.76565552,-48.40298000
2.86102295,-63.79586000
2.95639038,-53.57355000
3.05175781,-46.98391000
3.14712524,-48.24871000
3.24249268,-45.92317000
3.33786011,-62.57015000
3.43322754,-52.00487000
3.52859497,-45.54272000
3.62396240,-48.01889000
3.71932983,-46.55951000
3.81469727,-57.41395000
3.91006470,-45.66771000
4.00543213,-58.08152000
4.10079956,-44.99633000
4.19616699,-42.89924000
4.29153442,-43.79678000
4.38690186,-38.58266000
4.48226929,-26.63013000
4.57763672,-12.59955000
4.67300415,-5.40796900
4.76837158,-5.17116700
4.86373901,-12.10558000
4.95910645,-27.39308000
5.05447388,-45.54115000
5.14984131,-25.29996000
5.24520874,-11.60832000
5.34057617,-6.17028500
5.43594360,-7.41574600
5.53131104,-15.26765000
5.62667847,-29.82085000
5.72204590,-38.18630000
5.81741333,-42.95015000
5.91278076,-47.17346000
6.00814819,-51.86710000
6.10351563,-49.75491000
6.19888306,-46.50366000
6.29425049,-66.76588000
6.38961792,-52.37420000
6.48498535,-51.01219000
6.58035278,-49.73090000
6.67572021,-52.20962000
6.77108765,-55.94196000
6.86645508,-51.62273000
6.96182251,-59.53747000
7.05718994,-50.44017000
7.15255737,-49.14692000
7.24792480,-48.66012000
7.34329224,-51.42579000
7.43865967,-56.45930000
7.53402710,-49.66836000
7.62939453,-48.88370000
7.72476196,-51.39542000
7.82012939,-55.04631000
7.91549683,-53.24931000
8.01086426,-58.14343000
8.10623169,-62.84746000
8.20159912,-64.46323000
8.29696655,-58.12878000
8.39233398,-53.68349000
8.48770142,-55.40054000
8.58306885,-53.37738000
8.67843628,-53.61254000
8.77380371,-60.60085000
8.86917114,-54.63175000
8.96453857,-51.70594000
9.05990601,-51.82450000
9.15527344,-58.78706000
9.25064087,-57.92339000
9.34600830,-53.17361000
9.44137573,-49.45232000
9.53674316,-47.82473000
9.63211060,-50.70841000
9.72747803,-50.49585000
9.82284546,-47.64175000
9.91821289,-48.50958000
10.01358032,-50.58946000
10.10894775,-54.25442000
10.20431519,-56.74911000
10.29968262,-52.57189000
10.39505005,-52.73224000
10.49041748,-54.33536000
10.58578491,-63.64552000
10.68115234,-51.30386000
10.77651978,-59.15354000
10.87188721,-54.06374000
10.96725464,-49.58192000
11.06262207,-48.58024000
11.15798950,-49.18619000
11.25335693,-52.25711000
11.34872437,-52.84843000
11.44409180,-57.72164000
11.53945923,-63.73464000
11.63482666,-56.37197000
11.73019409,-63.50214000
11.82556152,-52.52174000
11.92092896,-54.92146000
12.01629639,-52.53539000
12.11166382,-48.60733000
12.20703125,-48.30978000
12.30239868,-52.46486000
12.39776611,-51.66283000
12.49313354,-51.20023000
12.58850098,-60.80630000
