Frequency,Channel B
(kHz),(dBu)

0.00000000,-26.30041000
0.04768372,-34.06128000
0.09536743,-51.84726000
0.14305115,-43.16658000
0.19073486,-46.38514000
0.23841858,-52.39395000
0.28610229,-61.86917000
0.33378601,-59.43985000
0.38146973,-58.94387000
0.42915344,-52.55828000
0.47683716,-52.81464000
0.52452087,-52.43671000
0.57220459,-51.86281000
0.61988831,-56.39750000
0.66757202,-68.17847000
0.71525574,-55.60827000
0.76293945,-56.79778000
0.81062317,-64.43411000
0.85830688,-62.63462000
0.90599060,-61.11414000
0.95367432,-54.67644000
1.00135803,-57.56256000
1.04904175,-56.99749000
1.09672546,-57.16811000
1.14440918,-54.38560000
1.19209290,-50.04788000
1.23977661,-52.53960000
1.28746033,-55.19929000
1.33514404,-55.33729000
1.38282776,-60.84963000
1.43051147,-61.83007000
1.47819519,-60.92626000
1.52587891,-55.64174000
1.57356262,-66.45219000
1.62124634,-53.01937000
1.66893005,-56.78504000
1.71661377,-59.57501000
1.76429749,-55.26289000
1.81198120,-58.97178000
1.85966492,-64.17548000
1.90734863,-58.47230000
1.95503235,-55.05778000
2.00271606,-57.25745000
2.05039978,-61.20529000
2.09808350,-74.51151000
2.14576721,-64.16891000
2.19345093,-63.65340000
2.24113464,-52.70769000
2.28881836,-53.49186000
2.33650208,-56.14969000
2.38418579,-54.36148000
2.43186951,-54.97355000
2.47955322,-53.61250000
2.52723694,-55.99598000
2.57492065,-65.26626000
2.62260437,-59.49637000
2.67028809,-52.43987000
2.71797180,-57.96179000
2.76565552,-61.24427000
2.81333923,-55.88888000
2.86102295,-51.23861000
2.90870667,-48.41308000
2.95639038,-60.77518000
3.00407410,-51.99734000
3.05175781,-55.42109000
3.09944153,-62.52134000
3.14712524,-55.20821000
3.19480896,-62.30554000
3.24249268,-51.91544000
3.29017639,-49.33906000
3.33786011,-51.15164000
3.38554382,-54.14778000
3.43322754,-55.43484000
3.48091125,-57.79495000
3.52859497,-58.06454000
3.57627869,-55.92999000
3.62396240,-54.59223000
3.67164612,-58.68690000
3.71932983,-64.31381000
3.76701355,-61.62086000
3.81469727,-54.05014000
3.86238098,-53.10835000
3.91006470,-58.50353000
3.95774841,-62.34295000
4.00543213,-56.93269000
4.05311584,-60.95479000
4.10079956,-55.59982000
4.14848328,-62.77351000
4.19616699,-61.68219000
4.24385071,-57.02372000
4.29153442,-52.72379000
4.33921814,-52.39404000
4.38690186,-53.02181000
4.43458557,-58.81577000
4.48226929,-72.13837000
4.52995300,-58.56087000
4.57763672,-58.58803000
4.62532043,-61.68634000
4.67300415,-52.47413000
4.72068787,-54.94720000
4.76837158,-56.46638000
4.81605530,-52.76726000
4.86373901,-54.56211000
4.91142273,-55.14061000
4.95910645,-49.47673000
5.00679016,-58.15304000
5.05447388,-73.70840000
5.10215759,-52.39964000
5.14984131,-67.10364000
5.19752502,-55.19223000
5.24520874,-62.51877000
5.29289246,-51.33569000
5.34057617,-57.87407000
5.38825989,-53.63388000
5.43594360,-53.87068000
5.48362732,-50.41513000
5.53131104,-44.48928000
5.57899475,-53.35441000
5.62667847,-48.18180000
5.67436218,-48.04855000
5.72204590,-55.74119000
5.76972961,-48.86700000
5.81741333,-55.57310000
5.86509705,-49.05788000
5.91278076,-52.35539000
5.96046448,-45.86930000
6.00814819,-50.75680000
6.05583191,-47.62225000
6.10351563,-49.40850000
6.15119934,-45.60396000
6.19888306,-47.19113000
6.24656677,-45.71628000
6.29425049,-46.17195000
