Time,Channel B
(ms),(V)

-0.00023800,-0.08056886
0.00104200,0.10025330
0.00232200,0.28107550
0.00360200,0.46205020
0.00488200,0.59770500
0.00616200,0.77852720
0.00744200,0.91433450
0.00872200,1.09515700
0.01000200,1.27613200
0.01128200,1.41178600
0.01256200,1.59260800
0.01384200,1.72841600
0.01512200,1.90923800
0.01640200,2.04489300
0.01768200,2.18054700
0.01896200,2.31635500
0.02024200,2.45201000
0.02152200,2.58766400
0.02280200,2.72331900
0.02408200,2.85897400
0.02536200,2.94946100
0.02664200,3.08511600
0.02792200,3.22077100
0.02920200,3.31125800
0.03048200,3.40174600
0.03176200,3.49223300
0.03304200,3.58272100
0.03432200,3.67305500
0.03560200,3.76354300
0.03688200,3.85403000
0.03816200,3.94451700
0.03944200,3.98968500
0.04072200,4.03485200
0.04200200,4.08017200
0.04328200,4.17066000
0.04456200,4.17066000
0.04584200,4.21582700
0.04712200,4.21582700
0.04840200,4.26099400
0.04968200,4.26099400
0.05096200,4.26099400
0.05224200,4.26099400
0.05352200,4.26099400
0.05480200,4.26099400
0.05608200,4.26099400
0.05736200,4.21582700
0.05864200,4.17066000
0.05992200,4.17066000
0.06120200,4.12534000
0.06248200,4.08017200
0.06376200,4.03485200
0.06504200,3.98968500
0.06632200,3.89919700
0.06760200,3.80886300
0.06888200,3.76354300
0.07016200,3.67305500
0.07144200,3.58272100
0.07272200,3.49223300
0.07400200,3.40174600
0.07528200,3.31125800
0.07656200,3.22077100
0.07784200,3.08511600
0.07912200,2.94946100
0.08040200,2.85897400
0.08168200,2.72331900
0.08296200,2.58766400
0.08424200,2.49717700
0.08552200,2.36152200
0.08680200,2.18054700
0.08808200,2.04489300
0.08936200,1.90923800
0.09064200,1.77358300
0.09192200,1.63792800
0.09320200,1.45695400
0.09448200,1.32129900
0.09576200,1.18564400
0.09704200,1.04998900
0.09832200,0.86901460
0.09960200,0.73335980
0.10088200,0.55238500
0.10216200,0.37156280
0.10344200,0.23590810
0.10472200,0.05508591
0.10600200,-0.08056886
0.10728200,-0.26154360
0.10856200,-0.39719840
0.10984200,-0.53285320
0.11112200,-0.71382790
0.11240200,-0.89465010
0.11368200,-1.03030500
0.11496200,-1.16596000
0.11624200,-1.34693400
0.11752200,-1.48258900
0.11880200,-1.61824400
0.12008200,-1.79921900
0.12136200,-1.88970600
0.12264200,-2.07052800
0.12392200,-2.20618300
0.12520200,-2.34199000
0.12648200,-2.43232500
0.12776200,-2.56813300
0.12904200,-2.70378700
0.13032200,-2.79427500
0.13160200,-2.92992900
0.13288200,-3.02026400
0.13416200,-3.15607200
0.13544200,-3.24640700
0.13672200,-3.33689400
0.13800200,-3.42738100
0.13928200,-3.51786900
0.14056200,-3.56303600
0.14184200,-3.65352300
0.14312200,-3.74401100
0.14440200,-3.78917800
0.14568200,-3.83434600
0.14696200,-3.87966600
0.14824200,-3.97015300
0.14952200,-3.97015300
0.15080200,-4.01532000
0.15208200,-4.06048800
0.15336200,-4.10580800
0.15464200,-4.10580800
0.15592200,-4.10580800
0.15720200,-4.10580800
0.15848200,-4.15097500
