Time,Channel B
(ms),(V)

-0.00030300,-0.15686510
0.00097700,0.02410962
0.00225700,0.29511400
0.00353700,0.47608880
0.00481700,0.56642350
0.00609700,0.83803830
0.00737700,1.01901300
0.00865700,1.10934800
0.00993700,1.29032300
0.01121700,1.56193700
0.01249700,1.74291200
0.01377700,1.83324700
0.01505700,2.10486100
0.01633700,2.19519600
0.01761700,2.37617100
0.01889700,2.55714600
0.02017700,2.73812100
0.02145700,2.82876100
0.02273700,3.00973500
0.02401700,3.19040500
0.02529700,3.37138000
0.02657700,3.46202000
0.02785700,3.64299400
0.02913700,3.82396900
0.03041700,3.91430400
0.03169700,4.09527900
0.03297700,4.18591900
0.03425700,4.27625400
0.03553700,4.45722800
0.03681700,4.54786800
0.03809700,4.63820300
0.03937700,4.72884300
0.04065700,4.90981800
0.04193700,5.00015300
0.04321700,5.09079300
0.04449700,5.18112800
0.04577700,5.27176700
0.04705700,5.36210200
0.04833700,5.45274200
0.04961700,5.45274200
0.05089700,5.54307700
0.05217700,5.63371700
0.05345700,5.72405100
0.05473700,5.72405100
0.05601700,5.72405100
0.05729700,5.81469200
0.05857700,5.81469200
0.05985700,5.90502600
0.06113700,5.90502600
0.06241700,5.99566700
0.06369700,5.99566700
0.06497700,5.90502600
0.06625700,5.99566700
0.06753700,5.99566700
0.06881700,5.90502600
0.07009700,5.90502600
0.07137700,5.90502600
0.07265700,5.81469200
0.07393700,5.81469200
0.07521700,5.81469200
0.07649700,5.81469200
0.07777700,5.72405100
0.07905700,5.63371700
0.08033700,5.63371700
0.08161700,5.54307700
0.08289700,5.45274200
0.08417700,5.45274200
0.08545700,5.27176700
0.08673700,5.27176700
0.08801700,5.09079300
0.08929700,5.09079300
0.09057700,4.90981800
0.09185700,4.81917800
0.09313700,4.72884300
0.09441700,4.63820300
0.09569700,4.45722800
0.09697700,4.36689300
0.09825700,4.18591900
0.09953700,4.09527900
0.10081700,4.00494400
0.10209700,3.82396900
0.10337700,3.73332900
0.10465700,3.55235500
0.10593700,3.37138000
0.10721700,3.28104500
0.10849700,3.10007000
0.10977700,2.91909600
0.11105700,2.73812100
0.11233700,2.64778600
0.11361700,2.46681100
0.11489700,2.19519600
0.11617700,2.10486100
0.11745700,1.92388700
0.11873700,1.74291200
0.12001700,1.65227200
0.12129700,1.38096300
0.12257700,1.19998800
0.12385700,1.01901300
0.12513700,0.83803830
0.12641700,0.65706350
0.12769700,0.47608880
0.12897700,0.29511400
0.13025700,0.11444440
0.13153700,-0.06653035
0.13281700,-0.24750510
0.13409700,-0.42847990
0.13537700,-0.69978940
0.13665700,-0.79042940
0.13793700,-1.06173900
0.13921700,-1.24271400
0.14049700,-1.42368800
0.14177700,-1.60466300
0.14305700,-1.78563800
0.14433700,-1.87627800
0.14561700,-2.05725300
0.14689700,-2.32856200
0.14817700,-2.41920200
0.14945700,-2.60017700
0.15073700,-2.78084700
0.15201700,-2.96182100
0.15329700,-3.14279600
0.15457700,-3.23343600
0.15585700,-3.41441100
0.15713700,-3.59538600
0.15841700,-3.68572000
0.15969700,-3.86669500
