Time,Channel A
(ms),(V)

-25.00689134,-0.21332440
-25.00189134,-0.06125065
-24.99689134,0.09830012
-24.99189134,0.24414810
-24.98689134,0.36909090
-24.98189134,0.45796080
-24.97689134,0.50126650
-24.97189134,0.49443040
-24.96689134,0.44053470
-24.96189134,0.34360790
-24.95689134,0.21454510
-24.95189134,0.06097598
-24.94689134,-0.09570605
-24.94189134,-0.24442270
-24.93689134,-0.36652730
-24.93189134,-0.45374920
-24.92689134,-0.49720760
-24.92189134,-0.49320960
-24.91689134,-0.43971070
-24.91189134,-0.34250920
-24.90689134,-0.21207310
-24.90189134,-0.06100650
-24.89689134,0.09768975
-24.89189134,0.24414810
-24.88689134,0.36835840
-24.88189134,0.45622120
-24.87689134,0.50001530
-24.87189134,0.49491870
-24.86689134,0.44239630
-24.86189134,0.34434040
-24.85689135,0.21430100
-24.85189135,0.06247139
-24.84689135,-0.09448531
-24.84189135,-0.24295790
-24.83689135,-0.36576430
-24.83189135,-0.45576340
-24.82689135,-0.49919130
-24.82189135,-0.49494920
-24.81689135,-0.44019900
-24.81189135,-0.34348580
-24.80689135,-0.21243930
-24.80189135,-0.06036561
-24.79689135,0.09381390
-24.79189135,0.24427010
-24.78689135,0.36799220
-24.78189135,0.45646530
-24.77689135,0.50028990
-24.77189135,0.49641410
-24.76689135,0.43867300
-24.76189135,0.34434040
-24.75689135,0.21378220
-24.75189135,0.06247139
-24.74689135,-0.09933775
-24.74189135,-0.24356820
-24.73689135,-0.36701560
-24.73189135,-0.45326090
-24.72689135,-0.49855040
-24.72189135,-0.49259920
-24.71689135,-0.44181640
-24.71189135,-0.34250920
-24.70689135,-0.21146280
-24.70189135,-0.06161687
-24.69689135,0.09781183
-24.69189135,0.24466690
-24.68689135,0.36936550
-24.68189135,0.45460370
-24.67689135,0.50114450
-24.67189135,0.49382000
-24.66689135,0.44090090
-24.66189135,0.34421830
-24.65689135,0.21304970
-24.65189135,0.06234932
-24.64689135,-0.09472945
-24.64189135,-0.24207280
-24.63689135,-0.36552020
-24.63189135,-0.45439010
-24.62689135,-0.49882500
-24.62189135,-0.49223300
-24.61689135,-0.44056520
-24.61189135,-0.34311960
-24.60689135,-0.21243930
-24.60189135,-0.06149480
-24.59689135,0.09692679
-24.59189135,0.24167610
-24.58689135,0.36661880
-24.58189135,0.45683160
-24.57689135,0.50178530
-24.57189135,0.49269080
-24.56689135,0.44004640
-24.56189135,0.34385200
-24.55689135,0.21341590
-24.55189135,0.06033509
-24.54689135,-0.09408856
-24.54189135,-0.24307990
-24.53689135,-0.36640520
-24.53189135,-0.45564140
-24.52689135,-0.49595630
-24.52189135,-0.49247720
-24.51689135,-0.43958860
-24.51189135,-0.34376050
-24.50689135,-0.21332440
-24.50189135,-0.06048769
-24.49689135,0.09494308
-24.49189135,0.24378180
-24.48689135,0.36811430
-24.48189135,0.45796080
-24.47689135,0.50178530
-24.47189135,0.49366740
-24.46689135,0.44215220
-24.46189136,0.34321110
-24.45689136,0.21430100
-24.45189136,0.06308176
-24.44689136,-0.09671316
-24.44189136,-0.24567400
