Time,Channel A,Channel B
(us),(mV),(V)

-242.16524616,90.97568000,0.14014100
-242.00524616,90.97568000,0.14014100
-241.84524617,90.97568000,0.14014100
-241.68524617,90.97568000,0.14014100
-241.52524617,90.97568000,0.14014100
-241.36524617,86.61153000,0.14014100
-241.20524617,82.23212000,0.14014100
-241.04524617,82.23212000,0.14014100
-240.88524617,82.23212000,0.14014100
-240.72524617,82.23212000,0.13138220
-240.56524617,82.23212000,0.13138220
-240.40524617,77.86797000,0.13138220
-240.24524618,77.86797000,0.13138220
-240.08524618,73.50382000,0.13138220
-239.92524618,73.50382000,0.13138220
-239.76524618,73.50382000,0.13138220
-239.60524618,73.50382000,0.13138220
-239.44524618,69.12442000,0.13138220
-239.28524618,64.76027000,0.13138220
-239.12524618,64.76027000,0.13138220
-238.96524618,60.39613000,0.12259290
-238.80524618,64.76027000,0.12259290
-238.64524618,60.39613000,0.12259290
-238.48524619,56.03198000,0.12259290
-238.32524619,56.03198000,0.12259290
-238.16524619,56.03198000,0.12259290
-238.00524619,56.03198000,0.11380350
-237.84524619,47.28843000,0.11380350
-237.68524619,47.28843000,0.10501420
-237.52524619,47.28843000,0.10501420
-237.36524619,47.28843000,0.10501420
-237.20524619,42.92428000,0.10501420
-237.04524619,38.56013000,0.09622486
-236.88524620,38.56013000,0.10501420
-236.72524620,38.56013000,0.09622486
-236.56524620,34.18073000,0.09622486
-236.40524620,29.81658000,0.09622486
-236.24524620,29.81658000,0.09622486
-236.08524620,29.81658000,0.09622486
-235.92524620,25.45243000,0.08743553
-235.76524620,21.08829000,0.08743553
-235.60524620,21.08829000,0.08743553
-235.44524620,21.08829000,0.08743553
-235.28524621,16.70888000,0.08743553
-235.12524621,16.70888000,0.07864620
-234.96524621,12.34474000,0.07864620
-234.80524621,12.34474000,0.06985687
-234.64524621,7.98059000,0.06985687
-234.48524621,3.61644300,0.06985687
-234.32524621,3.61644300,0.06106754
-234.16524621,3.61644300,0.06106754
-234.00524621,3.61644300,0.06106754
-233.84524621,-5.11185000,0.06106754
-233.68524622,-5.11185000,0.06106754
-233.52524622,-5.11185000,0.06106754
-233.36524622,-9.47599600,0.05227821
-233.20524622,-13.85540000,0.05227821
-233.04524622,-13.85540000,0.04348888
-232.88524622,-13.85540000,0.04348888
-232.72524622,-13.85540000,0.04348888
-232.56524622,-18.21955000,0.03469954
-232.40524622,-22.58370000,0.03469954
-232.24524622,-22.58370000,0.03469954
-232.08524622,-22.58370000,0.02591021
-231.92524623,-26.94784000,0.02591021
-231.76524623,-31.32725000,0.02591021
-231.60524623,-31.32725000,0.02591021
-231.44524623,-31.32725000,0.01712088
-231.28524623,-40.05554000,0.01712088
-231.12524623,-40.05554000,0.00833155
-230.96524623,-40.05554000,0.00833155
-230.80524623,-40.05554000,-0.00045778
-230.64524623,-44.41969000,-0.00045778
-230.48524623,-48.79910000,-0.00045778
-230.32524624,-48.79910000,-0.00045778
-230.16524624,-48.79910000,-0.00921659
-230.00524624,-48.79910000,-0.00921659
-229.84524624,-57.52739000,-0.00921659
-229.68524624,-57.52739000,-0.00921659
-229.52524624,-57.52739000,-0.00921659
-229.36524624,-61.89153000,-0.01797540
-229.20524624,-61.89153000,-0.01797540
-229.04524624,-66.27094000,-0.01797540
-228.88524624,-66.27094000,-0.02676473
-228.72524625,-66.27094000,-0.02676473
-228.56524625,-66.27094000,-0.03555406
-228.40524625,-70.63509000,-0.03555406
-228.24524625,-74.99923000,-0.03555406
-228.08524625,-74.99923000,-0.04434339
-227.92524625,-74.99923000,-0.04434339
-227.76524625,-74.99923000,-0.04434339
-227.60524625,-79.37864000,-0.04434339
-227.44524625,-83.74278000,-0.05313272
-227.28524625,-83.74278000,-0.05313272
-227.12524625,-83.74278000,-0.05313272
-226.96524626,-83.74278000,-0.05313272
-226.80524626,-83.74278000,-0.06192205
-226.64524626,-88.10693000,-0.06192205
-226.48524626,-83.74278000,-0.07071139
-226.32524626,-88.10693000,-0.06192205
-226.16524626,-92.47108000,-0.07071139
-226.00524626,-92.47108000,-0.07071139
-225.84524626,-92.47108000,-0.07950072
-225.68524626,-92.47108000,-0.07950072
-225.52524626,-92.47108000,-0.07950072
-225.36524627,-96.85049000,-0.07950072
-225.20524627,-96.85049000,-0.07950072
-225.04524627,-101.21460000,-0.08829005
-224.88524627,-101.21460000,-0.08829005
-224.72524627,-101.21460000,-0.09707938
-224.56524627,-101.21460000,-0.08829005
-224.40524627,-101.21460000,-0.09707938
-224.24524627,-105.57880000,-0.09707938
-224.08524627,-101.21460000,-0.10586870
-223.92524627,-101.21460000,-0.10586870
-223.76524628,-105.57880000,-0.10586870
-223.60524628,-105.57880000,-0.10586870
-223.44524628,-105.57880000,-0.10586870
-223.28524628,-105.57880000,-0.10586870
-223.12524628,-105.57880000,-0.11465800
-222.96524628,-105.57880000,-0.11465800
-222.80524628,-109.94290000,-0.11465800
-222.64524628,-109.94290000,-0.11465800
-222.48524628,-109.94290000,-0.11465800
-222.32524628,-109.94290000,-0.11465800
-222.16524629,-109.94290000,-0.11465800
-222.00524629,-109.94290000,-0.11465800
-221.84524629,-109.94290000,-0.11465800
-221.68524629,-109.94290000,-0.12344740
-221.52524629,-109.94290000,-0.12344740
-221.36524629,-109.94290000,-0.12344740
-221.20524629,-109.94290000,-0.12344740
-221.04524629,-109.94290000,-0.12344740
-220.88524629,-109.94290000,-0.12344740
-220.72524629,-109.94290000,-0.13223670
-220.56524629,-109.94290000,-0.12344740
-220.40524630,-109.94290000,-0.13223670
-220.24524630,-105.57880000,-0.13223670
-220.08524630,-105.57880000,-0.13223670
-219.92524630,-105.57880000,-0.13223670
-219.76524630,-109.94290000,-0.13223670
-219.60524630,-109.94290000,-0.13223670
-219.44524630,-109.94290000,-0.14102600
-219.28524630,-109.94290000,-0.14102600
-219.12524630,-105.57880000,-0.14102600
-218.96524630,-105.57880000,-0.13223670
-218.80524631,-101.21460000,-0.13223670
-218.64524631,-101.21460000,-0.14102600
-218.48524631,-101.21460000,-0.14102600
-218.32524631,-101.21460000,-0.14102600
-218.16524631,-101.21460000,-0.14102600
-218.00524631,-96.85049000,-0.14102600
-217.84524631,-96.85049000,-0.13223670
-217.68524631,-96.85049000,-0.13223670
-217.52524631,-92.47108000,-0.13223670
-217.36524631,-92.47108000,-0.14102600
-217.20524632,-92.47108000,-0.13223670
-217.04524632,-92.47108000,-0.14102600
-216.88524632,-92.47108000,-0.13223670
-216.72524632,-92.47108000,-0.14102600
-216.56524632,-88.10693000,-0.13223670
-216.40524632,-83.74278000,-0.13223670
-216.24524632,-83.74278000,-0.13223670
-216.08524632,-83.74278000,-0.13223670
-215.92524632,-83.74278000,-0.13223670
-215.76524632,-83.74278000,-0.14102600
-215.60524632,-79.37864000,-0.13223670
-215.44524633,-79.37864000,-0.13223670
-215.28524633,-74.99923000,-0.12344740
-215.12524633,-74.99923000,-0.12344740
-214.96524633,-74.99923000,-0.12344740
-214.80524633,-74.99923000,-0.12344740
-214.64524633,-74.99923000,-0.12344740
-214.48524633,-70.63509000,-0.12344740
-214.32524633,-66.27094000,-0.12344740
-214.16524633,-66.27094000,-0.11465800
-214.00524633,-66.27094000,-0.12344740
-213.84524634,-61.89153000,-0.11465800
-213.68524634,-57.52739000,-0.11465800
-213.52524634,-57.52739000,-0.11465800
-213.36524634,-57.52739000,-0.11465800
-213.20524634,-53.16324000,-0.11465800
-213.04524634,-53.16324000,-0.10586870
-212.88524634,-48.79910000,-0.10586870
-212.72524634,-48.79910000,-0.10586870
-212.56524634,-48.79910000,-0.10586870
-212.40524634,-48.79910000,-0.10586870
-212.24524635,-44.41969000,-0.10586870
-212.08524635,-40.05554000,-0.09707938
-211.92524635,-40.05554000,-0.09707938
-211.76524635,-40.05554000,-0.09707938
-211.60524635,-35.69139000,-0.09707938
-211.44524635,-35.69139000,-0.08829005
-211.28524635,-31.32725000,-0.07950072
-211.12524635,-31.32725000,-0.08829005
-210.96524635,-26.94784000,-0.08829005
-210.80524635,-22.58370000,-0.07950072
-210.64524636,-22.58370000,-0.07950072
-210.48524636,-18.21955000,-0.07950072
-210.32524636,-18.21955000,-0.07950072
-210.16524636,-13.85540000,-0.07071139
-210.00524636,-13.85540000,-0.07950072
-209.84524636,-13.85540000,-0.07071139
-209.68524636,-9.47599600,-0.07071139
-209.52524636,-5.11185000,-0.06192205
-209.36524636,-5.11185000,-0.06192205
-209.20524636,-5.11185000,-0.06192205
-209.04524636,-0.74770340,-0.05313272
-208.88524637,3.61644300,-0.04434339
-208.72524637,3.61644300,-0.04434339
-208.56524637,3.61644300,-0.04434339
-208.40524637,7.98059000,-0.04434339
-208.24524637,12.34474000,-0.04434339
-208.08524637,12.34474000,-0.03555406
-207.92524637,12.34474000,-0.03555406
-207.76524637,12.34474000,-0.03555406
-207.60524637,16.70888000,-0.03555406
-207.44524637,21.08829000,-0.03555406
-207.28524638,21.08829000,-0.03555406
-207.12524638,25.45243000,-0.01797540
-206.96524638,29.81658000,-0.02676473
-206.80524638,29.81658000,-0.01797540
-206.64524638,29.81658000,-0.00921659
-206.48524638,34.18073000,-0.00921659
-206.32524638,38.56013000,-0.00921659
-206.16524638,38.56013000,-0.00921659
-206.00524638,38.56013000,-0.00045778
-205.84524638,42.92428000,-0.00045778
-205.68524639,42.92428000,-0.00045778
-205.52524639,47.28843000,-0.00045778
-205.36524639,47.28843000,0.00833155
-205.20524639,47.28843000,0.00833155
-205.04524639,51.65257000,0.00833155
-204.88524639,56.03198000,0.01712088
-204.72524639,56.03198000,0.01712088
-204.56524639,56.03198000,0.02591021
-204.40524639,56.03198000,0.02591021
-204.24524639,60.39613000,0.02591021
-204.08524639,60.39613000,0.02591021
-203.92524640,60.39613000,0.03469954
-203.76524640,64.76027000,0.03469954
-203.60524640,64.76027000,0.03469954
-203.44524640,69.12442000,0.03469954
-203.28524640,73.50382000,0.04348888
-203.12524640,73.50382000,0.04348888
-202.96524640,73.50382000,0.05227821
-202.80524640,73.50382000,0.05227821
-202.64524640,77.86797000,0.06106754
-202.48524640,73.50382000,0.06106754
-202.32524641,82.23212000,0.06106754
-202.16524641,82.23212000,0.06106754
-202.00524641,82.23212000,0.06106754
-201.84524641,82.23212000,0.06985687
-201.68524641,86.61153000,0.06985687
-201.52524641,86.61153000,0.06985687
-201.36524641,90.97568000,0.06985687
-201.20524641,90.97568000,0.07864620
-201.04524641,90.97568000,0.07864620
-200.88524641,90.97568000,0.07864620
-200.72524642,90.97568000,0.07864620
-200.56524642,90.97568000,0.08743553
-200.40524642,95.33981000,0.08743553
-200.24524642,95.33981000,0.09622486
-200.08524642,99.70396000,0.09622486
-199.92524642,99.70396000,0.09622486
-199.76524642,99.70396000,0.09622486
-199.60524642,99.70396000,0.09622486
-199.44524642,99.70396000,0.09622486
-199.28524642,99.70396000,0.10501420
-199.12524643,99.70396000,0.10501420
-198.96524643,104.08340000,0.10501420
-198.80524643,104.08340000,0.10501420
-198.64524643,104.08340000,0.10501420
-198.48524643,108.44750000,0.11380350
-198.32524643,104.08340000,0.11380350
-198.16524643,108.44750000,0.11380350
-198.00524643,108.44750000,0.12259290
-197.84524643,108.44750000,0.12259290
-197.68524643,108.44750000,0.12259290
-197.52524643,108.44750000,0.12259290
-197.36524644,108.44750000,0.13138220
-197.20524644,108.44750000,0.13138220
-197.04524644,108.44750000,0.13138220
-196.88524644,108.44750000,0.13138220
-196.72524644,108.44750000,0.13138220
-196.56524644,108.44750000,0.13138220
-196.40524644,108.44750000,0.13138220
-196.24524644,108.44750000,0.13138220
-196.08524644,108.44750000,0.13138220
-195.92524644,108.44750000,0.13138220
-195.76524645,108.44750000,0.13138220
-195.60524645,108.44750000,0.14014100
-195.44524645,108.44750000,0.14014100
-195.28524645,108.44750000,0.14014100
-195.12524645,108.44750000,0.13138220
-194.96524645,108.44750000,0.14014100
-194.80524645,108.44750000,0.14014100
-194.64524645,104.08340000,0.14014100
-194.48524645,104.08340000,0.14014100
-194.32524645,104.08340000,0.14014100
-194.16524646,99.70396000,0.14014100
-194.00524646,104.08340000,0.14014100
-193.84524646,99.70396000,0.14014100
-193.68524646,99.70396000,0.14014100
-193.52524646,99.70396000,0.14014100
-193.36524646,99.70396000,0.14014100
-193.20524646,99.70396000,0.14014100
-193.04524646,99.70396000,0.14014100
-192.88524646,99.70396000,0.14014100
-192.72524646,95.33981000,0.14014100
-192.56524646,95.33981000,0.14014100
-192.40524647,90.97568000,0.14014100
-192.24524647,90.97568000,0.14893030
-192.08524647,90.97568000,0.14014100
-191.92524647,90.97568000,0.14014100
-191.76524647,90.97568000,0.14014100
-191.60524647,90.97568000,0.14014100
-191.44524647,86.61153000,0.14014100
-191.28524647,86.61153000,0.14014100
-191.12524647,82.23212000,0.14014100
-190.96524647,86.61153000,0.14014100
-190.80524648,82.23212000,0.13138220
