Frequency,Channel A
(kHz),(dBV)

0.00000000,-62.37318000
0.01220703,-62.74941000
0.02441406,-67.98526000
0.03662109,-78.04750000
0.04882813,-97.06104000
0.06103516,-93.74973000
0.07324219,-92.13734000
0.08544922,-91.78704000
0.09765625,-90.19128000
0.10986328,-88.60046000
0.12207031,-88.45865000
0.13427734,-89.82358000
0.14648438,-93.20392000
0.15869141,-95.34010000
0.17089844,-91.77468000
0.18310547,-90.43826000
0.19531250,-91.66272000
0.20751953,-94.00763000
0.21972656,-94.77856000
0.23193359,-94.57521000
0.24414063,-95.67577000
0.25634766,-96.65915000
0.26855469,-92.59914000
0.28076172,-88.28391000
0.29296875,-86.13708000
0.30517578,-86.11310000
0.31738281,-88.21618000
0.32958984,-92.66882000
0.34179688,-99.47514000
0.35400391,-107.25660000
0.36621094,-101.69530000
0.37841797,-97.56194000
0.39062500,-97.02405000
0.40283203,-97.53930000
0.41503906,-95.12891000
0.42724609,-92.57761000
0.43945313,-92.11250000
0.45166016,-93.66843000
0.46386719,-96.95737000
0.47607422,-100.39820000
0.48828125,-97.78286000
0.50048828,-94.24072000
0.51269531,-92.53559000
0.52490234,-91.56511000
0.53710938,-90.73167000
0.54931641,-90.48127000
0.56152344,-91.40343000
0.57373047,-94.08070000
0.58593750,-98.33032000
0.59814453,-99.52354000
0.61035156,-94.52934000
0.62255859,-90.60851000
0.63476563,-89.20348000
0.64697266,-90.29011000
0.65917969,-93.55007000
0.67138672,-95.96592000
0.68359375,-95.46268000
0.69580078,-94.32947000
0.70800781,-92.56588000
0.72021484,-91.33346000
0.73242188,-91.47350000
0.74462891,-93.51444000
0.75683594,-97.22469000
0.76904297,-98.85499000
0.78125000,-95.25890000
0.79345703,-92.42660000
0.80566406,-90.58775000
0.81787109,-89.94864000
0.83007813,-91.48274000
0.84228516,-94.85710000
0.85449219,-98.87364000
0.86669922,-102.20260000
0.87890625,-100.81640000
0.89111328,-99.88660000
0.90332031,-100.69120000
0.91552734,-99.32466000
0.92773438,-95.39342000
0.93994141,-93.13066000
0.95214844,-93.23075000
0.96435547,-94.26649000
0.97656250,-93.91369000
0.98876953,-93.74961000
1.00097656,-95.15731000
1.01318359,-98.15852000
1.02539063,-101.15730000
1.03759766,-96.61964000
1.04980469,-93.03054000
1.06201172,-92.90043000
1.07421875,-92.99740000
1.08642578,-89.31087000
1.09863281,-87.27662000
1.11083984,-88.17107000
1.12304688,-90.98482000
1.13525391,-91.96494000
1.14746094,-91.07208000
1.15966797,-90.47920000
1.17187500,-89.87400000
1.18408203,-89.68774000
1.19628906,-90.28268000
1.20849609,-91.22497000
1.22070313,-92.83124000
1.23291016,-97.31553000
1.24511719,-107.51830000
1.25732422,-103.26560000
1.26953125,-99.09858000
1.28173828,-94.63653000
1.29394531,-93.28543000
1.30615234,-95.01825000
1.31835938,-98.30920000
1.33056641,-101.30230000
1.34277344,-102.22930000
1.35498047,-100.52680000
1.36718750,-96.90800000
1.37939453,-94.75742000
1.39160156,-95.56377000
1.40380859,-95.86140000
1.41601563,-94.65791000
1.42822266,-96.20206000
1.44042969,-96.10271000
1.45263672,-93.79391000
1.46484375,-93.37856000
1.47705078,-92.32220000
1.48925781,-91.19968000
1.50146484,-90.78305000
1.51367188,-89.98275000
1.52587891,-89.42566000
1.53808594,-90.47035000
1.55029297,-94.33929000
1.56250000,-99.24728000
1.57470703,-94.49115000
1.58691406,-91.97831000
1.59912109,-92.54246000
1.61132813,-95.74451000
1.62353516,-95.65259000
1.63574219,-92.02121000
1.64794922,-90.51558000
1.66015625,-90.85913000
1.67236328,-92.89542000
1.68457031,-98.04459000
1.69677734,-100.07790000
1.70898438,-92.76374000
1.72119141,-90.11848000
1.73339844,-90.07933000
1.74560547,-91.48467000
1.75781250,-94.03912000
1.77001953,-96.59886000
1.78222656,-98.94450000
1.79443359,-110.01950000
1.80664063,-99.32198000
1.81884766,-91.79395000
1.83105469,-88.67682000
1.84326172,-87.90470000
1.85546875,-89.30833000
1.86767578,-92.02824000
1.87988281,-93.16946000
1.89208984,-94.32262000
1.90429688,-97.56563000
1.91650391,-99.87076000
1.92871094,-97.00935000
1.94091797,-95.67279000
1.95312500,-96.95520000
1.96533203,-99.98775000
1.97753906,-104.58720000
1.98974609,-107.91770000
2.00195313,-100.46160000
2.01416016,-95.99634000
2.02636719,-94.05296000
2.03857422,-93.60162000
2.05078125,-94.00563000
2.06298828,-94.87616000
2.07519531,-95.65329000
2.08740234,-96.27595000
2.09960938,-97.33232000
2.11181641,-98.62335000
2.12402344,-101.43260000
2.13623047,-107.47200000
2.14843750,-109.04750000
2.16064453,-106.59670000
2.17285156,-97.66681000
2.18505859,-93.74763000
2.19726563,-93.97076000
2.20947266,-98.63492000
2.22167969,-103.97600000
2.23388672,-101.56090000
2.24609375,-102.85270000
2.25830078,-100.53720000
2.27050781,-94.84703000
2.28271484,-92.59704000
2.29492188,-94.48427000
2.30712891,-96.43424000
2.31933594,-92.83052000
2.33154297,-92.96632000
2.34375000,-98.88129000
2.35595703,-101.90370000
2.36816406,-95.18724000
2.38037109,-93.21427000
2.39257813,-94.07757000
2.40478516,-97.85860000
2.41699219,-100.15170000
2.42919922,-97.49895000
2.44140625,-100.46220000
2.45361328,-103.89220000
2.46582031,-94.66154000
2.47802734,-93.30629000
2.49023438,-96.52510000
2.50244141,-104.40230000
2.51464844,-103.80590000
2.52685547,-97.95081000
2.53906250,-95.46277000
2.55126953,-94.72758000
2.56347656,-94.17163000
2.57568359,-93.30532000
2.58789063,-92.85835000
2.60009766,-92.64258000
2.61230469,-92.97218000
2.62451172,-95.37505000
2.63671875,-102.16360000
2.64892578,-112.81740000
2.66113281,-100.29590000
2.67333984,-96.27246000
2.68554688,-95.66475000
2.69775391,-99.50507000
2.70996094,-110.41050000
2.72216797,-101.99990000
2.73437500,-101.64040000
2.74658203,-103.84890000
2.75878906,-100.25830000
2.77099609,-94.73797000
2.78320313,-91.76151000
2.79541016,-91.67834000
2.80761719,-94.52390000
2.81982422,-101.56940000
2.83203125,-100.04480000
2.84423828,-92.07471000
2.85644531,-88.41663000
2.86865234,-87.53300000
2.88085938,-89.39843000
2.89306641,-94.26609000
2.90527344,-98.14211000
2.91748047,-97.89718000
2.92968750,-101.41210000
2.94189453,-104.26400000
2.95410156,-94.78175000
2.96630859,-91.83688000
2.97851563,-93.46459000
2.99072266,-100.44250000
3.00292969,-113.29180000
3.01513672,-106.55230000
3.02734375,-98.83585000
3.03955078,-95.31742000
3.05175781,-93.50516000
3.06396484,-93.11412000
3.07617188,-95.60062000
3.08837891,-104.13550000
3.10058594,-100.27520000
3.11279297,-94.90112000
3.12500000,-94.19922000
3.13720703,-96.43410000
3.14941406,-99.69034000
3.16162109,-99.89371000
3.17382813,-98.07149000
3.18603516,-98.08101000
3.19824219,-98.68349000
3.21044922,-96.69368000
3.22265625,-98.28491000
3.23486328,-115.98150000
3.24707031,-99.51338000
3.25927734,-94.57178000
3.27148438,-91.74409000
3.28369141,-89.74334000
3.29589844,-89.49699000
3.30810547,-91.01711000
3.32031250,-93.46916000
3.33251953,-97.69604000
3.34472656,-104.80780000
3.35693359,-99.54906000
3.36914063,-96.72670000
3.38134766,-96.16250000
3.39355469,-96.23969000
3.40576172,-95.79090000
3.41796875,-95.18237000
3.43017578,-95.59328000
3.44238281,-96.58459000
3.45458984,-97.77862000
3.46679688,-96.72079000
3.47900391,-90.83730000
3.49121094,-87.41704000
3.50341797,-86.92165000
3.51562500,-88.39616000
3.52783203,-89.99816000
3.54003906,-89.91058000
3.55224609,-89.34136000
3.56445313,-90.27584000
3.57666016,-92.56771000
3.58886719,-94.15811000
3.60107422,-93.84963000
3.61328125,-94.39510000
3.62548828,-98.46548000
3.63769531,-99.21606000
3.64990234,-96.21303000
3.66210938,-94.01492000
3.67431641,-91.77776000
3.68652344,-91.31501000
3.69873047,-93.51006000
3.71093750,-97.75911000
3.72314453,-101.11140000
3.73535156,-109.35630000
3.74755859,-97.73965000
3.75976563,-94.72699000
3.77197266,-98.40946000
3.78417969,-115.45980000
3.79638672,-100.53810000
3.80859375,-98.02876000
3.82080078,-97.99129000
3.83300781,-97.95730000
3.84521484,-97.39223000
3.85742188,-97.67044000
3.86962891,-97.64514000
3.88183594,-95.68140000
3.89404297,-93.80956000
3.90625000,-92.96147000
3.91845703,-93.04482000
3.93066406,-94.06691000
3.94287109,-96.78367000
3.95507813,-104.66060000
3.96728516,-107.55140000
3.97949219,-100.96490000
3.99169922,-104.46870000
4.00390625,-99.38728000
4.01611328,-94.61313000
4.02832031,-95.17178000
4.04052734,-100.42480000
4.05273438,-105.65430000
4.06494141,-101.63280000
4.07714844,-98.95321000
4.08935547,-96.80091000
4.10156250,-95.09414000
4.11376953,-94.15206000
4.12597656,-94.95753000
4.13818359,-96.18599000
4.15039063,-96.79696000
4.16259766,-99.80445000
4.17480469,-98.31081000
4.18701172,-96.16515000
4.19921875,-97.08904000
4.21142578,-95.45708000
4.22363281,-92.96886000
4.23583984,-91.96617000
4.24804688,-92.74136000
4.26025391,-96.16024000
4.27246094,-98.92397000
4.28466797,-96.32912000
4.29687500,-95.34577000
4.30908203,-96.20736000
4.32128906,-98.90052000
4.33349609,-104.97170000
4.34570313,-100.41140000
4.35791016,-95.56003000
4.37011719,-94.19364000
4.38232422,-94.76384000
4.39453125,-96.25357000
4.40673828,-98.12466000
4.41894531,-100.53660000
4.43115234,-101.55330000
4.44335938,-102.59400000
4.45556641,-114.82840000
4.46777344,-105.62160000
4.47998047,-103.54970000
4.49218750,-102.52540000
4.50439453,-96.14029000
4.51660156,-92.77907000
4.52880859,-90.39554000
4.54101563,-88.39150000
4.55322266,-86.67123000
4.56542969,-84.99117000
4.57763672,-83.78238000
4.58984375,-83.84324000
4.60205078,-85.52655000
4.61425781,-87.58986000
4.62646484,-87.10389000
4.63867188,-85.86920000
4.65087891,-86.15381000
4.66308594,-88.35716000
4.67529297,-92.64260000
4.68750000,-99.53052000
4.69970703,-100.37100000
4.71191406,-96.19550000
4.72412109,-96.23747000
4.73632813,-98.86241000
4.74853516,-94.63742000
4.76074219,-92.44809000
4.77294922,-94.99261000
4.78515625,-97.19199000
4.79736328,-93.49706000
4.80957031,-92.16483000
4.82177734,-92.42848000
4.83398438,-93.53008000
4.84619141,-95.37262000
4.85839844,-98.64433000
4.87060547,-102.28970000
4.88281250,-97.53384000
4.89501953,-94.16167000
4.90722656,-93.84038000
4.91943359,-97.15545000
4.93164063,-110.53180000
4.94384766,-99.33086000
4.95605469,-94.37247000
4.96826172,-93.10182000
4.98046875,-93.75002000
4.99267578,-96.57913000
5.00488281,-102.05520000
5.01708984,-98.61687000
5.02929688,-94.99550000
5.04150391,-94.06503000
5.05371094,-93.67397000
5.06591797,-93.40315000
5.07812500,-93.59433000
5.09033203,-93.44166000
5.10253906,-93.45491000
5.11474609,-95.32658000
5.12695313,-98.16982000
5.13916016,-97.32326000
5.15136719,-95.43807000
5.16357422,-94.21915000
5.17578125,-94.51096000
5.18798828,-96.47929000
5.20019531,-96.49673000
5.21240234,-91.90932000
5.22460938,-87.90068000
5.23681641,-86.56927000
5.24902344,-88.24171000
5.26123047,-93.42110000
5.27343750,-104.41320000
5.28564453,-114.27000000
5.29785156,-104.29130000
5.31005859,-100.07860000
5.32226563,-98.93071000
5.33447266,-100.36160000
5.34667969,-101.80870000
5.35888672,-99.74699000
5.37109375,-97.21190000
5.38330078,-94.54902000
5.39550781,-91.71994000
5.40771484,-89.48174000
5.41992188,-87.85641000
5.43212891,-87.48666000
5.44433594,-89.47208000
5.45654297,-95.13800000
5.46875000,-107.71910000
5.48095703,-103.53590000
5.49316406,-102.32260000
5.50537109,-102.75550000
5.51757813,-101.00240000
5.52978516,-97.69478000
5.54199219,-94.23477000
5.55419922,-92.05473000
5.56640625,-91.90468000
5.57861328,-94.34798000
5.59082031,-98.42927000
5.60302734,-96.78127000
5.61523438,-95.32378000
5.62744141,-94.97611000
5.63964844,-92.91005000
5.65185547,-91.84837000
5.66406250,-92.31823000
5.67626953,-93.05981000
5.68847656,-93.46436000
5.70068359,-92.91861000
5.71289063,-91.15576000
5.72509766,-90.61284000
5.73730469,-92.06343000
