Time,Channel A
(ms),(V)

-25.00679905,0.02697836
-25.00179905,-0.18097480
-24.99679905,0.31583600
-24.99179905,-0.41929380
-24.98679905,0.48597680
-24.98179905,-0.50141910
-24.97679905,0.46992400
-24.97179905,-0.39115570
-24.96679905,0.27491070
-24.96179905,-0.12781150
-24.95679905,-0.02664266
-24.95179905,0.18143250
-24.94679905,-0.31311990
-24.94179905,0.42200990
-24.93679905,-0.48426770
-24.93179905,0.50288400
-24.92679905,-0.46794030
-24.92179905,0.38950770
-24.91679905,-0.27207250
-24.91179905,0.12866600
-24.90679905,0.02859584
-24.90179905,-0.17883850
-24.89679905,0.31647690
-24.89179905,-0.42078920
-24.88679905,0.48460340
-24.88179905,-0.50117500
-24.87679905,0.46891690
-24.87179906,-0.38941620
-24.86679906,0.27314070
-24.86179906,-0.13055820
-24.85679906,-0.02465896
-24.85179906,0.17920470
-24.84679906,-0.31311990
-24.84179906,0.42100280
-24.83679906,-0.48438980
-24.83179906,0.50276190
-24.82679906,-0.46906950
-24.82179906,0.38990450
-24.81679906,-0.27332380
-24.81179906,0.13040560
-24.80679906,0.02563555
-24.80179906,-0.17984560
-24.79679906,0.31583600
-24.79179906,-0.42252880
-24.78679906,0.48347420
-24.78179906,-0.50117500
-24.77679906,0.47053440
-24.77179906,-0.38978240
-24.76679906,0.27503280
-24.76179906,-0.13019200
-24.75679906,-0.02279733
-24.75179906,0.17893000
-24.74679906,-0.31449320
-24.74179906,0.42161320
-24.73679906,-0.48625140
-24.73179906,0.50325020
-24.72679906,-0.46571250
-24.72179906,0.39124730
-24.71679906,-0.27381210
-24.71179906,0.13153480
-24.70679906,0.02871792
-24.70179906,-0.17749570
-24.69679906,0.31684320
-24.69179906,-0.41816460
-24.68679906,0.48408460
-24.68179906,-0.50129710
-24.67679906,0.47004610
-24.67179906,-0.38978240
-24.66679906,0.27314070
-24.66179906,-0.12881860
-24.65679906,-0.02688681
-24.65179906,0.18042540
-24.64679906,-0.31650750
-24.64179906,0.42249830
-24.63679906,-0.48451190
-24.63179906,0.50001530
-24.62679906,-0.46708580
-24.62179906,0.38990450
-24.61679906,-0.27268290
-24.61179906,0.13089390
-24.60679906,0.02786340
-24.60179906,-0.17984560
-24.59679906,0.31608020
-24.59179906,-0.42066710
-24.58679906,0.48658710
-24.58179906,-0.50044250
-24.57679906,0.47029020
-24.57179906,-0.38856170
-24.56679906,0.27475810
-24.56179906,-0.12906280
-24.55679906,-0.02478103
-24.55179906,0.17944880
-24.54679906,-0.31586660
-24.54179906,0.42039250
-24.53679906,-0.48548840
-24.53179906,0.50325020
-24.52679906,-0.46745200
-24.52179906,0.38990450
-24.51679906,-0.27506330
-24.51179906,0.13116860
-24.50679906,0.02887051
-24.50179906,-0.18097480
-24.49679906,0.31595810
-24.49179906,-0.41929380
-24.48679906,0.48597680
-24.48179906,-0.50141910
-24.47679907,0.46815390
-24.47179907,-0.38904990
-24.46679907,0.27365950
-24.46179907,-0.13107700
-24.45679907,-0.02591021
-24.45179907,0.18179880
-24.44679907,-0.31489000
-24.44179907,0.42100280
