Frequency,Channel B
(kHz),(dBu)

0.00000000,-66.52760000
0.01192093,-70.87382000
0.02384186,-79.72589000
0.03576279,-82.98640000
0.04768372,-80.70877000
0.05960464,-96.70721000
0.07152557,-85.84106000
0.08344650,-81.53101000
0.09536743,-79.98394000
0.10728836,-80.57916000
0.11920929,-84.98847000
0.13113022,-88.56507000
0.14305115,-91.22624000
0.15497208,-90.21172000
0.16689301,-90.46970000
0.17881393,-86.94833000
0.19073486,-87.44379000
0.20265579,-87.60841000
0.21457672,-95.67047000
0.22649765,-92.61792000
0.23841858,-85.50563000
0.25033951,-83.36673000
0.26226044,-79.08467000
0.27418137,-73.40144000
0.28610229,-73.45631000
0.29802322,-76.41077000
0.30994415,-88.87916000
0.32186508,-81.97849000
0.33378601,-87.78416000
0.34570694,-89.34592000
0.35762787,-89.52042000
0.36954880,-95.26181000
0.38146973,-86.63685000
0.39339066,-86.36822000
0.40531158,-85.57504000
0.41723251,-86.13072000
0.42915344,-88.64896000
0.44107437,-96.76566000
0.45299530,-91.10118000
0.46491623,-91.73804000
0.47683716,-86.23267000
0.48875809,-89.03195000
0.50067902,-92.56007000
0.51259995,-97.46479000
0.52452087,-89.77751000
0.53644180,-92.85033000
0.54836273,-83.93555000
0.56028366,-86.65712000
0.57220459,-92.31871000
0.58412552,-91.75719000
0.59604645,-91.88706000
0.60796738,-89.18336000
0.61988831,-87.19184000
0.63180923,-98.53586000
0.64373016,-92.21907000
0.65565109,-84.78178000
0.66757202,-87.46538000
0.67949295,-88.70082000
0.69141388,-87.48598000
0.70333481,-83.79876000
0.71525574,-81.21934000
0.72717667,-84.29192000
0.73909760,-85.92999000
0.75101852,-89.67289000
0.76293945,-92.74934000
0.77486038,-89.86320000
0.78678131,-86.84140000
0.79870224,-89.99072000
0.81062317,-86.43937000
0.82254410,-88.58156000
0.83446503,-95.31792000
0.84638596,-83.88037000
0.85830688,-80.88085000
0.87022781,-83.83087000
0.88214874,-90.87849000
0.89406967,-87.17709000
0.90599060,-86.51147000
0.91791153,-93.37703000
0.92983246,-85.52139000
0.94175339,-85.01220000
0.95367432,-91.08531000
0.96559525,-99.64416000
0.97751617,-87.01358000
0.98943710,-82.03291000
1.00135803,-82.81197000
1.01327896,-84.69374000
1.02519989,-85.61036000
1.03712082,-89.33201000
1.04904175,-90.42290000
1.06096268,-92.44960000
1.07288361,-87.43180000
1.08480453,-87.16353000
1.09672546,-84.91479000
1.10864639,-85.83864000
1.12056732,-101.88260000
1.13248825,-90.36918000
1.14440918,-86.70051000
1.15633011,-84.13429000
1.16825104,-81.63712000
1.18017197,-77.90079000
1.19209290,-76.67525000
1.20401382,-78.50818000
1.21593475,-82.44836000
1.22785568,-81.25430000
1.23977661,-84.44879000
1.25169754,-89.78525000
1.26361847,-103.31880000
1.27553940,-85.37579000
1.28746033,-84.15984000
1.29938126,-86.91328000
1.31130219,-87.33589000
1.32322311,-84.63000000
1.33514404,-84.43546000
1.34706497,-84.48013000
1.35898590,-84.25865000
1.37090683,-85.24970000
1.38282776,-84.75930000
1.39474869,-85.32297000
1.40666962,-86.23032000
1.41859055,-91.73286000
1.43051147,-88.02094000
1.44243240,-83.72110000
1.45435333,-81.81628000
1.46627426,-85.30214000
1.47819519,-88.17165000
1.49011612,-83.04179000
1.50203705,-82.38273000
1.51395798,-89.12892000
1.52587891,-104.26890000
1.53779984,-98.91019000
1.54972076,-104.24170000
1.56164169,-100.91300000
1.57356262,-101.31070000
