Time,Channel A,Frequency,Triangular,Rectangular,Channel A
(ms),(V),(kHz),(dBV),(dBV),(dBV)
,,,,,
-4.95834577,-0.4480422,5.08626274,-101.1095,-93.39001,-90.97005
-4.95784177,0.2378002,5.14681349,-99.6795,-86.77063,-92.63139
-4.95733777,0.4431593,5.20736423,-99.82173,-94.51857,-95.41046
-4.95683377,-0.249031,5.26791498,-97.79086,-86.23664,-98.79129
-4.95632977,-0.4365978,5.32846573,-99.16741,-89.19975,-100.2313
-4.95582577,0.2577288,5.38901648,-107.8513,-94.63634,-98.69373
-4.95532177,0.4302194,5.44956722,-100.406,-88.3464,-96.44364
-4.95481777,-0.270455,5.51011797,-97.23682,-93.35422,-94.22344
-4.95431377,-0.4212775,5.57066872,-94.46443,-91.16532,-92.86339
-4.95380977,0.2807398,5.63121946,-94.27898,-86.26472,-92.62428
-4.95330577,0.4175237,5.69177021,-97.12119,-97.58698,-92.95175
-4.95280177,-0.2907193,5.75232096,-106.2304,-85.73421,-93.81242
-4.95229777,-0.4077273,5.8128717,-98.58315,-88.9131,-95.38002
-4.95179377,0.3009125,5.87342245,-96.10702,-86.53607,-97.6552
-4.95128977,0.4028443,5.9339732,-99.21896,-87.52239,-100.4092
-4.95078577,-0.3105258,5.99452394,-111.0519,-103.1856,-103.5247
-4.95028177,-0.3925291,6.05507469,-102.7267,-86.16026,-109.0377
-4.94977777,0.3213294,6.11562544,-100.6803,-89.06538,-105.0829
-4.94927377,0.3857845,6.17617619,-102.8678,-88.22753,-98.91711
-4.94876977,-0.3296915,6.23672693,-101.8478,-86.38221,-96.09465
-4.94826577,-0.3768426,6.29727768,-102.5544,-121.0775,-94.82566
-4.94776177,0.3422346,6.35782843,-101.6969,-85.24166,-94.87683
-4.94725777,0.3699759,6.41837917,-100.5591,-92.49474,-96.58433
-4.94675377,-0.34785,6.47892992,-101.8137,-92.11597,-99.78911
-4.94624977,-0.358684,6.53948067,-106.2,-85.6556,-102.0452
-4.94574577,0.3600269,6.60003141,-110.012,-108.9571,-98.93454
-4.94524177,0.3487045,6.66058216,-100.6355,-85.85535,-94.69959
-4.94473777,-0.3675039,6.72113291,-97.38312,-90.81952,-91.7774
-4.94423377,-0.3402508,6.78168365,-96.4577,-93.61301,-90.21905
-4.94372977,0.3738212,6.8422344,-94.94284,-85.71025,-90.0043
-4.94322577,0.329783,6.90278515,-93.88499,-94.48241,-90.95819
-4.94272177,-0.3852046,6.9633359,-96.1187,-87.81883,-92.40578
-4.94221777,-0.3198645,7.02388664,-105.7954,-88.23048,-93.74549
-4.94171377,0.3922544,7.08443739,-105.8425,-95.69756,-95.16549
-4.94120977,0.3134861,7.14498814,-101.2063,-84.90352,-96.73038
-4.94070577,-0.4006165,7.20553888,-99.33244,-103.029,-97.73521
-4.94020177,-0.3026826,7.26608963,-99.04372,-88.71601,-98.39402
-4.93969777,0.4090396,7.32664038,-103.6939,-86.71246,-100.2741
-4.93919377,0.2933134,7.38719112,-105.6629,-94.92245,-103.0577
-4.93868977,-0.4127018,7.44774187,-106.3713,-85.04674,-101.4349
-4.93818577,-0.2800379,7.50829262,-104.5152,-95.81176,-98.47293
-4.93768177,0.4223762,7.56884336,-97.8321,-87.83367,-96.85032
-4.93717777,0.2731407,7.62939411,-97.51006,-85.88347,-96.38656
-4.93667377,-0.4277474,7.68994486,-98.85924,-94.09645,-96.27486
-4.93616977,-0.2573931,7.75049561,-99.31107,-85.75542,-95.02684
-4.93566577,0.4370556,7.81104635,-97.63393,-94.63746,-93.26563
-4.93516177,0.2500076,7.8715971,-93.39748,-92.05325,-91.62148
-4.93465777,-0.4414502,7.93214785,-92.44768,-83.56651,-90.25134
-4.93415377,-0.2372204,7.99269859,-95.92796,-94.49266,-89.48251
-4.93364977,0.4483779,8.05324934,-96.95927,-84.83894,-89.44556
-4.93314577,0.2271187,8.11380009,-99.2661,-91.70143,-90.00595
-4.93264177,-0.4507889,8.17435083,-98.73022,-86.24872,-90.86198
-4.93213777,-0.2155522,8.23490158,-99.10497,-87.92123,-91.51924
-4.93163377,0.4588458,8.29545233,-99.28368,-96.13548,-91.32375
-4.93112977,0.2054506,8.35600307,-99.2549,-85.09161,-90.52122
-4.93062577,-0.4630879,8.41655382,-97.67325,-94.07413,-89.82262
-4.93012177,-0.1925413,8.47710457,-98.34589,-91.00809,-89.67169
-4.92961777,0.4680319,8.53765532,-95.04551,-85.77046,-90.48959
-4.92911377,0.1820429,8.59820606,-92.96062,-94.72913,-92.44701
-4.92860977,-0.4744102,8.65875681,-95.3533,-90.5191,-94.78019
-4.92810577,-0.1679128,8.71930756,-109.6885,-90.65494,-97.42141
-4.92760177,0.478988,8.7798583,-101.4816,-96.84678,-103.9444
-4.92709777,0.1556749,8.84040905,-99.48387,-85.1419,-107.3937
-4.92659377,-0.4807581,8.9009598,-106.0029,-99.38867,-101.741
-4.92608977,-0.1438948,8.96151054,-100.6697,-87.06692,-103.0044
-4.92558577,0.4849696,9.02206129,-96.00035,-87.93427,-105.5229
-4.92508177,0.1321452,9.08261204,-101.6901,-94.31755,-99.48712
-4.92457777,-0.4886013,9.14316278,-101.7155,-85.43529,-95.57273
-4.92407377,-0.1168859,9.20371353,-98.68309,-97.73678,-94.16606
-4.92356977,0.4924467,9.26426428,-96.77492,-89.23276,-92.45537
