Time,Channel B
(ms),(V)

-2.00247089,0.09338664
-1.99991089,-0.08789331
-1.99735089,0.09338664
-1.99479089,0.09338664
-1.99223089,0.09338664
-1.98967089,0.09338664
-1.98711089,0.09338664
-1.98455089,0.09338664
-1.98199089,0.09338664
-1.97943089,0.09338664
-1.97687089,0.09338664
-1.97431089,0.09338664
-1.97175089,0.09338664
-1.96919089,0.09338664
-1.96663089,0.09338664
-1.96407089,0.09338664
-1.96151089,0.09338664
-1.95895089,0.09338664
-1.95639089,0.09338664
-1.95383089,0.09338664
-1.95127089,0.09338664
-1.94871089,0.09338664
-1.94615089,-0.08789331
-1.94359089,0.09338664
-1.94103089,0.09338664
-1.93847089,0.09338664
-1.93591089,-0.08789331
-1.93335089,0.09338664
-1.93079089,0.09338664
-1.92823089,0.09338664
-1.92567089,0.09338664
-1.92311089,0.09338664
-1.92055089,-0.08789331
-1.91799089,-0.08789331
-1.91543089,0.09338664
-1.91287089,0.09338664
-1.91031089,0.09338664
-1.90775089,-0.08789331
-1.90519089,-0.08789331
-1.90263089,0.09338664
-1.90007089,-0.08789331
-1.89751089,-0.08789331
-1.89495089,0.09338664
-1.89239089,0.09338664
-1.88983089,-0.08789331
-1.88727089,0.09338664
-1.88471089,-0.08789331
-1.88215089,0.09338664
-1.87959089,0.09338664
-1.87703089,0.09338664
-1.87447089,-0.08789331
-1.87191089,-0.08789331
-1.86935089,-0.08789331
-1.86679089,0.09338664
-1.86423089,0.09338664
-1.86167089,0.09338664
-1.85911089,-0.08789331
-1.85655089,0.09338664
-1.85399089,0.09338664
-1.85143089,-0.08789331
-1.84887089,-0.08789331
-1.84631089,0.09338664
-1.84375089,-0.08789331
-1.84119089,0.09338664
-1.83863089,0.09338664
-1.83607089,0.09338664
-1.83351089,-0.08789331
-1.83095089,0.09338664
-1.82839089,0.09338664
-1.82583089,0.09338664
-1.82327089,0.09338664
-1.82071089,0.09338664
-1.81815089,0.09338664
-1.81559089,-0.08789331
-1.81303089,0.09338664
-1.81047089,0.09338664
-1.80791089,-0.08789331
-1.80535089,0.09338664
-1.80279089,-0.08789331
-1.80023090,0.09338664
-1.79767090,0.09338664
-1.79511090,0.09338664
-1.79255090,0.09338664
-1.78999090,0.09338664
-1.78743090,0.09338664
-1.78487090,0.09338664
-1.78231090,0.09338664
-1.77975090,0.09338664
-1.77719090,0.09338664
-1.77463090,0.09338664
-1.77207090,-0.08789331
-1.76951090,0.09338664
-1.76695090,0.09338664
-1.76439090,0.09338664
-1.76183090,-0.08789331
-1.75927090,-0.08789331
-1.75671090,0.09338664
-1.75415090,0.09338664
-1.75159090,-0.08789331
-1.74903090,-0.08789331
-1.74647090,0.09338664
-1.74391090,0.09338664
-1.74135090,0.09338664
-1.73879090,0.09338664
-1.73623090,-0.08789331
-1.73367090,0.09338664
-1.73111090,0.09338664
-1.72855090,0.09338664
-1.72599090,0.09338664
-1.72343090,0.09338664
-1.72087090,0.09338664
-1.71831090,-0.08789331
-1.71575090,0.09338664
-1.71319090,0.09338664
-1.71063090,0.09338664
-1.70807090,0.09338664
