Frequency,Channel B
(kHz),(dBu)

0.00000000,-50.84881000
0.09536743,-56.12986000
0.19073486,-65.05798000
0.28610229,-61.88397000
0.38146973,-58.64714000
0.47683716,-63.40316000
0.57220459,-65.65234000
0.66757202,-56.94029000
0.76293945,-56.87249000
0.85830688,-59.10728000
0.95367432,-56.71971000
1.04904175,-59.82260000
1.14440918,-71.87323000
1.23977661,-72.01035000
1.33514404,-60.46719000
1.43051147,-57.77028000
1.52587891,-60.83851000
1.62124634,-66.63850000
1.71661377,-62.71058000
1.81198120,-56.06718000
1.90734863,-56.31796000
2.00271606,-60.85388000
2.09808350,-72.80099000
2.19345093,-60.25600000
2.28881836,-56.37571000
2.38418579,-55.65393000
2.47955322,-54.72541000
2.57492065,-58.72903000
2.67028809,-62.81463000
2.76565552,-61.69727000
2.86102295,-65.60313000
2.95639038,-63.07677000
3.05175781,-57.82438000
3.14712524,-73.58316000
3.24249268,-53.02079000
3.33786011,-52.01146000
3.43322754,-52.36397000
3.52859497,-53.03233000
3.62396240,-41.72331000
3.71932983,-22.93156000
3.81469727,-12.34628000
3.91006470,-9.49016600
4.00543213,-13.85571000
4.10079956,-26.21253000
4.19616699,-41.70371000
4.29153442,-44.68372000
4.38690186,-47.71137000
4.48226929,-31.85904000
4.57763672,-17.44408000
4.67300415,-9.70155900
4.76837158,-9.08349400
4.86373901,-15.46010000
4.95910645,-29.25794000
5.05447388,-48.12919000
5.14984131,-48.49907000
5.24520874,-60.93697000
5.34057617,-56.56007000
5.43594360,-60.78719000
5.53131104,-68.55994000
5.62667847,-58.54300000
5.72204590,-92.55481000
5.81741333,-61.15755000
5.91278076,-59.21051000
6.00814819,-57.87030000
6.10351563,-53.61437000
6.19888306,-55.56743000
6.29425049,-53.11384000
6.38961792,-53.74144000
6.48498535,-66.48615000
6.58035278,-56.21884000
6.67572021,-52.41711000
6.77108765,-49.61513000
6.86645508,-49.11145000
6.96182251,-52.13169000
7.05718994,-57.26220000
7.15255737,-56.29456000
7.24792480,-56.87254000
7.34329224,-60.66243000
7.43865967,-71.79047000
7.53402710,-59.85060000
7.62939453,-55.45723000
7.72476196,-57.73850000
7.82012939,-64.38148000
7.91549683,-75.21309000
8.01086426,-61.69981000
8.10623169,-57.66790000
8.20159912,-54.77858000
8.29696655,-53.67159000
8.39233398,-54.63520000
8.48770142,-54.29867000
8.58306885,-57.35106000
8.67843628,-61.85181000
8.77380371,-57.50727000
8.86917114,-58.29731000
8.96453857,-60.95964000
9.05990601,-64.85648000
9.15527344,-65.09729000
9.25064087,-78.50145000
9.34600830,-63.38943000
9.44137573,-63.54247000
9.53674316,-59.79818000
9.63211060,-62.48890000
9.72747803,-68.24663000
9.82284546,-71.80122000
9.91821289,-60.97668000
10.01358032,-52.88421000
10.10894775,-51.08536000
10.20431519,-54.62390000
10.29968262,-58.78382000
10.39505005,-53.06856000
10.49041748,-57.21955000
10.58578491,-67.34425000
10.68115234,-59.92115000
10.77651978,-59.88732000
10.87188721,-63.35123000
10.96725464,-60.48529000
11.06262207,-57.82288000
11.15798950,-57.15609000
11.25335693,-59.39106000
11.34872437,-63.60088000
11.44409180,-63.00782000
11.53945923,-60.81104000
11.63482666,-62.25544000
11.73019409,-62.60966000
11.82556152,-61.30624000
11.92092896,-62.50652000
12.01629639,-62.53356000
12.11166382,-66.79253000
12.20703125,-88.19118000
12.30239868,-62.84193000
12.39776611,-58.80873000
12.49313354,-61.85103000
12.58850098,-68.92854000
