Frequency,Channel B
(kHz),(dBu)

0.00000000,-30.25562000
0.09536743,-36.44674000
0.19073486,-47.54600000
0.28610229,-55.09785000
0.38146973,-52.67716000
0.47683716,-70.59824000
0.57220459,-62.94458000
0.66757202,-59.79319000
0.76293945,-51.29551000
0.85830688,-49.96598000
0.95367432,-50.58764000
1.04904175,-51.11584000
1.14440918,-51.25846000
1.23977661,-51.58049000
1.33514404,-56.63744000
1.43051147,-69.04830000
1.52587891,-54.64787000
1.62124634,-50.65934000
1.71661377,-50.33392000
1.81198120,-50.88025000
1.90734863,-50.59414000
2.00271606,-53.61763000
2.09808350,-73.13208000
2.19345093,-55.12550000
2.28881836,-54.80537000
2.38418579,-63.68410000
2.47955322,-59.30369000
2.57492065,-64.81159000
2.67028809,-58.51900000
2.76565552,-56.14036000
2.86102295,-57.31144000
2.95639038,-60.45118000
3.05175781,-66.13432000
3.14712524,-71.28905000
3.24249268,-73.55990000
3.33786011,-64.44926000
3.43322754,-56.77438000
3.52859497,-56.51008000
3.62396240,-64.60463000
3.71932983,-57.25129000
3.81469727,-71.04932000
3.91006470,-58.77037000
4.00543213,-52.95946000
4.10079956,-53.25370000
4.19616699,-63.87491000
4.29153442,-66.71007000
4.38690186,-63.88581000
4.48226929,-63.34692000
4.57763672,-57.85821000
4.67300415,-57.22990000
4.76837158,-61.73029000
4.86373901,-58.38162000
4.95910645,-51.09768000
5.05447388,-48.95422000
5.14984131,-48.84270000
5.24520874,-51.07595000
5.34057617,-56.44632000
5.43594360,-63.11573000
5.53131104,-53.87506000
5.62667847,-53.43967000
5.72204590,-50.09349000
5.81741333,-63.18001000
5.91278076,-54.19097000
6.00814819,-58.49591000
6.10351563,-63.89340000
6.19888306,-49.84312000
6.29425049,-56.30661000
6.38961792,-49.03721000
6.48498535,-54.71971000
6.58035278,-52.15340000
6.67572021,-51.29900000
6.77108765,-42.12469000
6.86645508,-46.50336000
6.96182251,-33.71411000
7.05718994,-20.42779000
7.15255737,-5.67531700
7.24792480,2.19981800
7.34329224,4.80535600
7.43865967,4.01345800
7.53402710,-0.20124290
7.62939453,-9.78630900
7.72476196,-25.53575000
7.82012939,-35.66946000
7.91549683,-43.60758000
8.01086426,-45.96071000
8.10623169,-46.55798000
8.20159912,-60.67208000
8.29696655,-46.43638000
8.39233398,-54.39151000
8.48770142,-52.45134000
8.58306885,-56.27793000
8.67843628,-67.26663000
8.77380371,-61.79858000
8.86917114,-54.70832000
8.96453857,-58.41851000
9.05990601,-61.69588000
9.15527344,-58.49277000
9.25064087,-55.69721000
9.34600830,-53.31010000
9.44137573,-55.44668000
9.53674316,-55.32333000
9.63211060,-55.99525000
9.72747803,-65.01848000
9.82284546,-60.82119000
9.91821289,-54.29346000
10.01358032,-49.58438000
10.10894775,-50.22220000
10.20431519,-56.37384000
10.29968262,-58.92092000
10.39505005,-67.17612000
10.49041748,-61.90702000
10.58578491,-60.86031000
10.68115234,-61.16512000
10.77651978,-57.39968000
10.87188721,-54.37807000
10.96725464,-56.63182000
11.06262207,-62.77926000
11.15798950,-57.44655000
11.25335693,-69.30228000
11.34872437,-52.96999000
11.44409180,-50.00545000
11.53945923,-49.83994000
11.63482666,-51.62457000
11.73019409,-53.29859000
11.82556152,-56.41503000
11.92092896,-58.33846000
12.01629639,-56.96301000
12.11166382,-52.87309000
12.20703125,-52.88584000
12.30239868,-61.69154000
12.39776611,-60.04548000
12.49313354,-55.30292000
12.58850098,-62.01810000
12.68386841,-60.47530000
