Time,Channel A,Frequency,Rectangular,Hann,Flat-top
(ms),(V),(kHz),(dBV),(dBV),(dBV)
,,,,,
-4.95759418,0.5017853,5.14681349,-34.63001,-35.40508,-22.19731
-4.95709018,0.499649,5.20736423,-50.75203,-60.68111,-25.18505
-4.95658618,0.4997711,5.26791498,-41.81761,-56.54996,-30.7967
-4.95608218,0.5010224,5.32846573,-44.60886,-63.19677,-39.8475
-4.95557818,0.5030061,5.38901648,-53.97086,-73.80827,-53.55162
-4.95507418,0.4986725,5.44956722,-46.05487,-70.29258,-73.34502
-4.95457018,0.5006561,5.51011797,-57.6971,-82.60106,-96.78371
-4.95406618,0.5011445,5.57066872,-51.42358,-78.13923,-99.39687
-4.95356218,0.4994049,5.63121946,-52.76168,-81.21912,-90.98921
-4.95305818,0.4998932,5.69177021,-64.62615,-94.58798,-91.38094
-4.95255418,0.4990387,5.75232096,-55.17489,-85.97075,-88.15132
-4.95205018,0.5034028,5.8128717,-66.41226,-88.73602,-88.49905
-4.95154618,0.4990387,5.87342245,-63.48877,-89.07785,-88.32366
-4.95104218,0.5001678,5.9339732,-67.51986,-89.87218,-86.59383
-4.95053818,0.5009003,5.99452394,-90.40984,-96.84447,-86.4949
-4.95003418,0.5000153,6.05507469,-72.75216,-91.76593,-87.64426
-4.94953018,0.5013886,6.11562544,-72.07852,-90.03596,-89.42699
-4.94902618,0.4987945,6.17617619,-63.80056,-93.63873,-89.91933
-4.94852218,0.5001678,6.23672693,-58.71248,-89.09656,-89.22952
-4.94801818,0.5005341,6.29727768,-75.61366,-114.1309,-92.21481
-4.94751418,0.5007782,6.35782843,-53.86279,-82.66551,-94.75097
-4.94701018,0.4998932,6.41837917,-57.00047,-84.89175,-96.84784
-4.94650618,0.4992828,6.47892992,-54.41349,-80.52799,-93.16762
-4.94600218,0.499527,6.53948067,-48.9064,-73.68391,-82.60895
-4.94549818,0.500412,6.60003141,-88.28637,-95.51154,-59.96936
-4.94499418,0.499649,6.66058216,-45.45149,-65.39462,-45.05114
-4.94449018,0.4997711,6.72113291,-47.1806,-63.74123,-35.18056
-4.94398618,0.4992828,6.78168365,-45.90759,-57.1076,-28.96445
-4.94348218,0.4982757,6.8422344,-38.00145,-41.61472,-25.52389
-4.94297818,0.5005341,6.90278515,-55.86361,-29.54454,-24.10775
-4.94247418,0.4998932,6.9633359,-25.84833,-24.59992,-23.82837
-4.94197018,0.5010224,7.02388664,-24.66088,-24.13342,-23.82393
-4.94146618,0.5010224,7.08443739,-38.78752,-27.97713,-23.97919
-4.94096218,0.5012665,7.14498814,-37.42884,-37.83989,-25.05541
-4.94045818,0.5015107,7.20553888,-56.01745,-66.01774,-27.97047
-4.93995418,0.5009003,7.26608963,-44.24214,-58.86755,-33.48515
-4.93945018,0.5006561,7.32664038,-47.66953,-66.58278,-42.40715
-4.93894618,0.5011445,7.38719112,-55.36285,-75.12387,-55.9176
-4.93844218,0.5013886,7.44774187,-48.62671,-73.53893,-74.94253
-4.93793818,0.5001678,7.50829262,-61.82577,-85.20115,-87.77397
-4.93743418,0.5007782,7.56884336,-53.54284,-79.65766,-89.32507
-4.93693018,0.5010224,7.62939411,-55.48082,-87.38697,-86.73207
-4.93642618,0.4998932,7.68994486,-65.02193,-101.7303,-88.60121
-4.93592218,0.5009003,7.75049561,-57.47554,-87.28692,-90.65604
-4.93541818,0.5009003,7.81104635,-70.30112,-92.14603,-89.40179
-4.93491418,0.4972991,7.8715971,-65.11816,-90.65807,-90.46577
-4.93441018,0.4998932,7.93214785,-69.97688,-89.21785,-90.24909
-4.93390618,0.5000153,7.99269859,-93.79762,-96.46457,-88.36507
-4.93340218,0.4982757,8.05324934,-76.87278,-97.04318,-89.035
-4.93289818,0.4989166,8.11380009,-76.71141,-92.14204,-91.48151
-4.93239418,0.4998932,8.17435083,-65.90182,-96.45705,-94.05434
-4.93189018,0.5025178,8.23490158,-61.91071,-87.78255,-100.7947
-4.93138618,0.4998932,8.29545233,-73.80218,-93.18027,-97.61535
-4.93088218,0.502884,8.35600307,-56.4153,-84.96543,-92.46619
-4.93037818,0.5020295,8.41655382,-60.42443,-87.47898,-98.7765
-4.92987418,0.5021515,8.47710457,-56.38151,-81.95939,-100.5716
-4.92937018,0.4989166,8.53765532,-51.56937,-75.88934,-83.75758
-4.92886618,0.5007782,8.59820606,-76.44782,-89.86186,-62.53346
-4.92836218,0.499649,8.65875681,-47.69556,-67.28441,-47.59026
-4.92785818,0.5001678,8.71930756,-50.12387,-67.32381,-37.60817
-4.92735418,0.5012665,8.7798583,-47.49389,-58.95355,-31.29549
-4.92685018,0.5013886,8.84040905,-40.47935,-44.40449,-27.77978
-4.92634618,0.4998932,8.9009598,-70.87885,-31.97607,-26.31354
-4.92584218,0.4998932,8.96151054,-28.27262,-26.86886,-26.0145
-4.92533818,0.5016328,9.02206129,-26.70903,-26.27057,-26.00975
-4.92483418,0.5000153,9.08261204,-39.86596,-29.96688,-26.15186
-4.92433018,0.4989166,9.14316278,-39.55237,-39.56814,-27.1851
-4.92382618,0.5023957,9.20371353,-61.61937,-71.91278,-30.032
-4.92332218,0.5006561,9.26426428,-46.01809,-60.54113,-35.46002
-4.92281818,0.5020295,9.32481503,-50.12041,-69.43417,-44.28823
-4.92231418,0.500412,9.38536577,-56.23737,-77.3741,-57.81934
-4.92181018,0.5010224,9.44591652,-50.66203,-74.59655,-79.10829
-4.92130618,0.5009003,9.50646727,-65.32985,-98.86417,-94.70421
-4.92080218,0.5015107,9.56701801,-55.06622,-84.37971,-91.70752
-4.92029818,0.5019074,9.62756876,-57.7158,-86.65272,-93.09643
-4.91979418,0.5005341,9.68811951,-65.66264,-98.06484,-90.29721
-4.91929018,0.4987945,9.74867025,-59.18053,-89.33578,-87.77199
-4.91878618,0.5015107,9.809221,-73.74303,-88.31825,-86.46985
-4.91828218,0.5021515,9.86977175,-66.49088,-88.82224,-84.55894
-4.91777818,0.4987945,9.93032249,-71.00804,-89.01152,-83.9043
-4.91727418,0.4991607,9.99087324,-89.38657,-88.21832,-84.76803
-4.91677018,0.4992828,10.05142399,-80.73991,-90.35796,-85.53792
-4.91626618,0.5009003,10.11197474,-82.26096,-95.92178,-86.24249
-4.91576218,0.499527,10.17252548,-67.91617,-100.6941,-87.74139
-4.91525818,0.4987945,10.23307623,-64.51423,-91.55676,-88.52548
-4.91475418,0.4997711,10.29362698,-73.18013,-98.67407,-89.55684
-4.91425018,0.4985198,10.35417772,-58.50567,-84.15958,-89.79628
-4.91374618,0.5002899,10.41472847,-63.32558,-96.42741,-86.73588
-4.91324218,0.500412,10.47527922,-57.76363,-85.03777,-85.81173
-4.91273818,0.5000153,10.53582996,-53.78885,-76.72243,-89.55336
-4.91223418,0.5023957,10.59638071,-71.25594,-85.1682,-65.39603
-4.91173018,0.4990387,10.65693146,-49.44946,-69.43661,-49.81858
