Frequency,Channel A,Channel B
(kHz),(dBu),(dBu)

0.00000000,-∞,-14.13078000
0.04768372,-∞,-27.17589000
0.09536743,-∞,-21.33493000
0.14305115,-∞,-22.18356000
0.19073486,-∞,-22.32780000
0.23841858,-∞,-23.09336000
0.28610229,-∞,-23.48433000
0.33378601,-∞,-24.12598000
0.38146973,-∞,-24.70354000
0.42915344,-∞,-25.74705000
0.47683716,-∞,-26.62155000
0.52452087,-∞,-26.80149000
0.57220459,-∞,-27.94862000
0.61988831,-∞,-29.12253000
0.66757202,-∞,-30.02723000
0.71525574,-∞,-29.70539000
0.76293945,-∞,-30.87497000
0.81062317,-∞,-31.86508000
0.85830688,-∞,-30.71549000
0.90599060,-∞,-32.77455000
0.95367432,-∞,-32.84866000
1.00135803,-∞,-31.97344000
1.04904175,-∞,-32.53078000
1.09672546,-∞,-34.07389000
1.14440918,-∞,-34.78245000
1.19209290,-∞,-33.36146000
1.23977661,-∞,-34.57779000
1.28746033,-∞,-34.30908000
1.33514404,-∞,-35.14119000
1.38282776,-∞,-35.38852000
1.43051147,-∞,-36.06571000
1.47819519,-∞,-34.87807000
1.52587891,-∞,-36.39244000
1.57356262,-∞,-35.54198000
1.62124634,-∞,-36.18931000
1.66893005,-∞,-37.52705000
1.71661377,-∞,-35.48287000
1.76429749,-∞,-38.87822000
1.81198120,-∞,-36.38980000
1.85966492,-∞,-36.04052000
1.90734863,-∞,-37.68971000
1.95503235,-∞,-36.90970000
2.00271606,-∞,-38.39631000
2.05039978,-∞,-36.81873000
2.09808350,-∞,-38.60339000
2.14576721,-∞,-37.54757000
2.19345093,-∞,-38.30339000
2.24113464,-∞,-35.90464000
2.28881836,-∞,-39.88052000
2.33650208,-∞,-37.30993000
2.38418579,-∞,-38.52667000
2.43186951,-∞,-38.51110000
2.47955322,-∞,-39.11866000
2.52723694,-∞,-37.51458000
2.57492065,-∞,-38.44887000
2.62260437,-∞,-37.19149000
2.67028809,-∞,-39.30278000
2.71797180,-∞,-37.62707000
2.76565552,-∞,-39.19133000
2.81333923,-∞,-38.47274000
2.86102295,-∞,-38.24948000
2.90870667,-∞,-39.28925000
2.95639038,-∞,-36.27648000
3.00407410,-∞,-42.69635000
3.05175781,-∞,-35.99578000
3.09944153,-∞,-40.93624000
3.14712524,-∞,-36.56995000
3.19480896,-∞,-38.09287000
3.24249268,-∞,-39.27285000
3.29017639,-∞,-36.33715000
3.33786011,-∞,-39.17191000
3.38554382,-∞,-37.55821000
3.43322754,-∞,-36.37830000
3.48091125,-∞,-37.76548000
3.52859497,-∞,-37.40612000
3.57627869,-∞,-37.16680000
3.62396240,-∞,-37.31518000
3.67164612,-∞,-37.11349000
3.71932983,-∞,-35.16693000
3.76701355,-∞,-36.67171000
3.81469727,-∞,-35.97649000
3.86238098,-∞,-34.60507000
3.91006470,-∞,-36.26669000
3.95774841,-∞,-34.46370000
4.00543213,-∞,-34.89919000
4.05311584,-∞,-33.07187000
4.10079956,-∞,-35.59298000
4.14848328,-∞,-32.98312000
4.19616699,-∞,-31.47814000
4.24385071,-∞,-32.26476000
4.29153442,-∞,-32.15276000
4.33921814,-∞,-29.10177000
4.38690186,-∞,-30.10090000
4.43458557,-∞,-27.83154000
4.48226929,-∞,-27.32015000
4.52995300,-∞,-24.46603000
4.57763672,-∞,-22.41726000
4.62532043,-∞,-17.85506000
4.67300415,-∞,-11.56771000
4.72068787,-∞,-6.17092100
4.76837158,-∞,-3.69673800
4.81605530,-∞,-5.34344000
4.86373901,-∞,-10.36837000
4.91142273,-∞,-16.90519000
4.95910645,-∞,-22.30418000
5.00679016,-∞,-24.94863000
5.05447388,-∞,-28.44867000
5.10215759,-∞,-28.21898000
5.14984131,-∞,-31.63648000
5.19752502,-∞,-32.38643000
5.24520874,-∞,-33.15163000
5.29289246,-∞,-34.65601000
5.34057617,-∞,-35.08774000
5.38825989,-∞,-35.95356000
5.43594360,-∞,-38.87534000
5.48362732,-∞,-37.17831000
5.53131104,-∞,-36.11956000
5.57899475,-∞,-41.71503000
5.62667847,-∞,-39.96941000
5.67436218,-∞,-41.04975000
5.72204590,-∞,-39.09483000
5.76972961,-∞,-43.75013000
5.81741333,-∞,-42.70646000
5.86509705,-∞,-38.01468000
5.91278076,-∞,-44.32804000
5.96046448,-∞,-44.66224000
6.00814819,-∞,-43.45850000
6.05583191,-∞,-45.48994000
6.10351563,-∞,-43.95113000
6.15119934,-∞,-44.04449000
6.19888306,-∞,-49.35186000
6.24656677,-∞,-42.46838000
6.29425049,-∞,-43.69926000
6.34193420,-∞,-55.88657000
6.38961792,-∞,-46.08338000
6.43730164,-∞,-44.32111000
6.48498535,-∞,-53.01783000
6.53266907,-∞,-43.92133000
6.58035278,-∞,-48.71518000
6.62803650,-∞,-49.45795000
6.67572021,-∞,-48.85236000
6.72340393,-∞,-47.54501000
6.77108765,-∞,-47.23270000
6.81877136,-∞,-48.20104000
6.86645508,-∞,-51.79469000
6.91413879,-∞,-45.87015000
6.96182251,-∞,-52.79562000
7.00950623,-∞,-43.07712000
7.05718994,-∞,-60.03450000
7.10487366,-∞,-55.21799000
7.15255737,-∞,-46.07447000
7.20024109,-∞,-51.87823000
7.24792480,-∞,-50.88493000
7.29560852,-∞,-50.03128000
7.34329224,-∞,-47.74246000
7.39097595,-∞,-46.97300000
7.43865967,-∞,-45.36690000
7.48634338,-∞,-61.47128000
7.53402710,-∞,-54.21408000
7.58171082,-∞,-57.65812000
7.62939453,-∞,-46.40505000
7.67707825,-∞,-54.47700000
7.72476196,-∞,-46.14240000
7.77244568,-∞,-60.98938000
7.82012939,-∞,-52.03447000
7.86781311,-∞,-58.74989000
7.91549683,-∞,-51.36155000
7.96318054,-∞,-50.96984000
8.01086426,-∞,-51.03367000
8.05854797,-∞,-53.11279000
8.10623169,-∞,-47.44940000
8.15391541,-∞,-54.36403000
8.20159912,-∞,-57.20029000
8.24928284,-∞,-49.65012000
8.29696655,-∞,-55.23085000
8.34465027,-∞,-51.61674000
8.39233398,-∞,-72.90908000
8.44001770,-∞,-51.04394000
8.48770142,-∞,-48.83740000
8.53538513,-∞,-46.86287000
8.58306885,-∞,-55.70987000
8.63075256,-∞,-57.58591000
8.67843628,-∞,-52.17327000
8.72612000,-∞,-50.84553000
8.77380371,-∞,-54.53876000
8.82148743,-∞,-47.25079000
8.86917114,-∞,-51.22945000
8.91685486,-∞,-54.41379000
8.96453857,-∞,-56.54963000
9.01222229,-∞,-56.32679000
9.05990601,-∞,-45.77312000
9.10758972,-∞,-45.70473000
9.15527344,-∞,-51.58658000
9.20295715,-∞,-51.46629000
9.25064087,-∞,-52.60744000
9.29832458,-∞,-46.38308000
9.34600830,-∞,-47.00148000
9.39369202,-∞,-42.33538000
9.44137573,-∞,-40.88203000
9.48905945,-∞,-45.15059000
9.53674316,-∞,-42.11717000
9.58442688,-∞,-44.11066000
9.63211060,-∞,-44.22115000
9.67979431,-∞,-44.32736000
9.72747803,-∞,-42.70581000
9.77516174,-∞,-47.93619000
9.82284546,-∞,-51.76521000
9.87052917,-∞,-49.07708000
9.91821289,-∞,-52.59031000
9.96589661,-∞,-57.14882000
10.01358032,-∞,-52.35565000
10.06126404,-∞,-53.01134000
10.10894775,-∞,-60.85737000
10.15663147,-∞,-59.50440000
10.20431519,-∞,-48.25688000
10.25199890,-∞,-48.99249000
10.29968262,-∞,-48.18333000
10.34736633,-∞,-52.27655000
10.39505005,-∞,-61.66143000
10.44273376,-∞,-50.17736000
10.49041748,-∞,-50.26901000
10.53810120,-∞,-66.20526000
10.58578491,-∞,-68.09880000
10.63346863,-∞,-63.22257000
10.68115234,-∞,-57.46358000
10.72883606,-∞,-51.74124000
10.77651978,-∞,-51.14249000
10.82420349,-∞,-56.50872000
10.87188721,-∞,-51.39420000
10.91957092,-∞,-49.32846000
10.96725464,-∞,-55.31007000
11.01493835,-∞,-59.94609000
11.06262207,-∞,-51.99064000
11.11030579,-∞,-59.37353000
11.15798950,-∞,-69.09015000
11.20567322,-∞,-57.51318000
11.25335693,-∞,-52.88328000
11.30104065,-∞,-50.25851000
11.34872437,-∞,-49.03210000
11.39640808,-∞,-55.54260000
11.44409180,-∞,-57.33615000
11.49177551,-∞,-53.89080000
11.53945923,-∞,-49.48605000
11.58714294,-∞,-58.16105000
11.63482666,-∞,-68.28642000
11.68251038,-∞,-66.74949000
11.73019409,-∞,-68.42018000
11.77787781,-∞,-69.86688000
11.82556152,-∞,-53.70491000
11.87324524,-∞,-58.81693000
11.92092896,-∞,-56.54748000
11.96861267,-∞,-52.24434000
12.01629639,-∞,-55.03082000
12.06398010,-∞,-57.37369000
12.11166382,-∞,-56.14351000
12.15934753,-∞,-52.61748000
12.20703125,-∞,-52.03883000
12.25471497,-∞,-50.23396000
12.30239868,-∞,-53.40735000
12.35008240,-∞,-51.80184000
12.39776611,-∞,-51.60971000
12.44544983,-∞,-57.42833000
12.49313354,-∞,-71.22004000
12.54081726,-∞,-53.39745000
12.58850098,-∞,-53.89810000
12.63618469,-∞,-53.42651000
12.68386841,-∞,-63.13521000
12.73155212,-∞,-54.29964000
12.77923584,-∞,-48.82124000
12.82691956,-∞,-44.95799000
12.87460327,-∞,-47.21686000
12.92228699,-∞,-56.12873000
12.96997070,-∞,-54.84696000
13.01765442,-∞,-57.92991000
13.06533813,-∞,-52.62255000
13.11302185,-∞,-48.40409000
13.16070557,-∞,-48.80001000
13.20838928,-∞,-58.95334000
13.25607300,-∞,-53.78225000
13.30375671,-∞,-53.79589000
13.35144043,-∞,-50.95054000
13.39912415,-∞,-48.38885000
13.44680786,-∞,-52.50273000
13.49449158,-∞,-59.91509000
