Frequency,Channel A
(kHz),(dBV)

0.00000000,-64.59315000
0.01220703,-64.88924000
0.02441406,-69.78067000
0.03662109,-78.59648000
0.04882813,-92.52625000
0.06103516,-106.59850000
0.07324219,-96.48178000
0.08544922,-92.12842000
0.09765625,-93.39962000
0.10986328,-101.05480000
0.12207031,-106.31880000
0.13427734,-104.96390000
0.14648438,-101.72470000
0.15869141,-97.75290000
0.17089844,-95.26778000
0.18310547,-93.12054000
0.19531250,-91.96587000
0.20751953,-91.36979000
0.21972656,-90.31638000
0.23193359,-88.88141000
0.24414063,-88.44743000
0.25634766,-90.31064000
0.26855469,-94.84795000
0.28076172,-98.20947000
0.29296875,-98.62209000
0.30517578,-98.24543000
0.31738281,-95.64399000
0.32958984,-93.87601000
0.34179688,-94.64601000
0.35400391,-99.15765000
0.36621094,-111.67120000
0.37841797,-107.32820000
0.39062500,-100.64040000
0.40283203,-97.42136000
0.41503906,-95.38153000
0.42724609,-92.02745000
0.43945313,-88.36414000
0.45166016,-86.58387000
0.46386719,-87.04671000
0.47607422,-89.18214000
0.48828125,-91.25275000
0.50048828,-92.44594000
0.51269531,-94.91846000
0.52490234,-100.14930000
0.53710938,-102.28260000
0.54931641,-98.36617000
0.56152344,-96.50006000
0.57373047,-99.32685000
0.58593750,-107.11670000
0.59814453,-93.29948000
0.61035156,-89.76303000
0.62255859,-90.43175000
0.63476563,-94.94927000
0.64697266,-103.90920000
0.65917969,-105.88280000
0.67138672,-101.96790000
0.68359375,-97.79021000
0.69580078,-96.15002000
0.70800781,-96.43910000
0.72021484,-97.66740000
0.73242188,-97.30724000
0.74462891,-95.60405000
0.75683594,-95.03610000
0.76904297,-94.73822000
0.78125000,-94.37074000
0.79345703,-96.93002000
0.80566406,-107.46840000
0.81787109,-103.07680000
0.83007813,-99.32903000
0.84228516,-98.95378000
0.85449219,-98.84856000
0.86669922,-98.14940000
0.87890625,-96.65370000
0.89111328,-94.90643000
0.90332031,-95.71997000
0.91552734,-100.50840000
0.92773438,-100.96890000
0.93994141,-100.08780000
0.95214844,-103.78460000
0.96435547,-106.12450000
0.97656250,-99.51553000
0.98876953,-93.49471000
1.00097656,-89.94933000
1.01318359,-89.46171000
1.02539063,-93.21231000
1.03759766,-111.06390000
1.04980469,-96.88567000
1.06201172,-93.46013000
1.07421875,-92.97601000
1.08642578,-92.35000000
1.09863281,-91.99626000
1.11083984,-94.44417000
1.12304688,-102.35030000
1.13525391,-97.00214000
1.14746094,-92.44196000
1.15966797,-91.21342000
1.17187500,-91.31966000
1.18408203,-92.72954000
1.19628906,-96.57388000
1.20849609,-102.59700000
1.22070313,-103.90720000
1.23291016,-100.00330000
1.24511719,-98.22341000
1.25732422,-99.21028000
1.26953125,-99.49426000
1.28173828,-96.61620000
1.29394531,-98.57138000
1.30615234,-111.15300000
1.31835938,-94.48983000
1.33056641,-91.64725000
1.34277344,-91.98152000
1.35498047,-92.67963000
1.36718750,-92.88047000
1.37939453,-92.26536000
1.39160156,-92.84386000
1.40380859,-94.77150000
1.41601563,-94.99800000
1.42822266,-94.26662000
1.44042969,-93.68742000
1.45263672,-95.27205000
1.46484375,-104.41170000
1.47705078,-104.55370000
1.48925781,-100.25120000
1.50146484,-101.41070000
1.51367188,-98.17332000
1.52587891,-95.85968000
1.53808594,-95.31165000
1.55029297,-95.69798000
1.56250000,-96.65101000
1.57470703,-97.56538000
1.58691406,-96.79239000
1.59912109,-93.72202000
1.61132813,-90.88422000
1.62353516,-89.76769000
1.63574219,-90.04974000
1.64794922,-90.59686000
1.66015625,-90.32333000
1.67236328,-89.47518000
1.68457031,-89.49776000
1.69677734,-91.63889000
1.70898438,-96.45184000
1.72119141,-99.32227000
1.73339844,-96.44283000
1.74560547,-93.46698000
1.75781250,-92.70892000
1.77001953,-93.87796000
1.78222656,-95.42296000
1.79443359,-97.29507000
1.80664063,-98.75121000
1.81884766,-94.04631000
1.83105469,-89.58344000
1.84326172,-87.69288000
1.85546875,-87.26003000
1.86767578,-87.09132000
1.87988281,-87.43951000
1.89208984,-89.68599000
1.90429688,-94.66196000
1.91650391,-95.12337000
1.92871094,-92.39771000
1.94091797,-91.79050000
1.95312500,-92.45782000
1.96533203,-94.59659000
1.97753906,-99.11716000
1.98974609,-99.27325000
2.00195313,-94.48132000
2.01416016,-92.58946000
2.02636719,-90.94818000
2.03857422,-89.51363000
2.05078125,-89.64260000
2.06298828,-91.29612000
2.07519531,-94.32919000
2.08740234,-98.71390000
2.09960938,-97.76493000
2.11181641,-93.19038000
2.12402344,-90.85428000
2.13623047,-90.82836000
2.14843750,-93.22205000
2.16064453,-97.45518000
2.17285156,-98.56308000
2.18505859,-98.41861000
2.19726563,-101.31630000
2.20947266,-102.33120000
2.22167969,-96.35680000
2.23388672,-92.93364000
2.24609375,-91.67488000
2.25830078,-91.23090000
2.27050781,-90.73746000
2.28271484,-90.61472000
2.29492188,-91.79146000
2.30712891,-94.74455000
2.31933594,-97.95163000
2.33154297,-97.95091000
2.34375000,-96.94424000
2.35595703,-95.85159000
2.36816406,-94.75984000
2.38037109,-94.53289000
2.39257813,-95.29678000
2.40478516,-96.04995000
2.41699219,-96.41576000
2.42919922,-97.51526000
2.44140625,-98.22578000
2.45361328,-97.37077000
2.46582031,-99.02737000
2.47802734,-107.68980000
2.49023438,-105.68900000
2.50244141,-102.48510000
2.51464844,-105.23360000
2.52685547,-107.52930000
2.53906250,-104.02830000
2.55126953,-105.15960000
2.56347656,-104.41990000
2.57568359,-97.05556000
2.58789063,-94.70799000
2.60009766,-96.01594000
2.61230469,-99.18718000
2.62451172,-101.47400000
2.63671875,-104.67020000
2.64892578,-111.89780000
2.66113281,-102.11330000
2.67333984,-98.42261000
2.68554688,-102.64880000
2.69775391,-102.41620000
2.70996094,-96.13846000
2.72216797,-96.38622000
2.73437500,-100.91380000
2.74658203,-106.43200000
2.75878906,-109.18070000
2.77099609,-110.88730000
2.78320313,-108.65730000
2.79541016,-109.87230000
2.80761719,-101.63400000
2.81982422,-97.35221000
2.83203125,-94.47223000
2.84423828,-91.55712000
2.85644531,-90.15216000
2.86865234,-91.33674000
2.88085938,-96.13976000
2.89306641,-102.90730000
2.90527344,-100.99040000
2.91748047,-100.23740000
2.92968750,-98.68599000
2.94189453,-98.14404000
2.95410156,-99.38435000
2.96630859,-102.29530000
2.97851563,-109.49270000
2.99072266,-99.08736000
3.00292969,-93.34137000
3.01513672,-91.32140000
3.02734375,-91.13838000
3.03955078,-91.79088000
3.05175781,-92.61263000
3.06396484,-92.80591000
3.07617188,-92.37111000
3.08837891,-92.29862000
3.10058594,-94.23369000
3.11279297,-102.14940000
3.12500000,-104.11230000
3.13720703,-94.84930000
3.14941406,-91.08611000
3.16162109,-89.75610000
3.17382813,-90.75473000
3.18603516,-92.61382000
3.19824219,-94.79389000
3.21044922,-98.62995000
3.22265625,-99.12405000
3.23486328,-94.53320000
3.24707031,-91.26479000
3.25927734,-91.49934000
3.27148438,-96.31710000
3.28369141,-104.03150000
3.29589844,-97.85934000
3.30810547,-97.22610000
3.32031250,-100.50460000
3.33251953,-100.81700000
3.34472656,-97.78141000
3.35693359,-93.90190000
3.36914063,-89.83359000
3.38134766,-88.38365000
3.39355469,-89.36151000
3.40576172,-91.32472000
3.41796875,-92.55589000
3.43017578,-93.06238000
3.44238281,-94.41495000
3.45458984,-100.15500000
3.46679688,-107.47800000
3.47900391,-97.54254000
3.49121094,-97.83021000
3.50341797,-99.63798000
3.51562500,-96.62581000
3.52783203,-95.30553000
3.54003906,-96.19935000
3.55224609,-96.30357000
3.56445313,-96.38749000
3.57666016,-98.55058000
3.58886719,-101.65850000
3.60107422,-103.87500000
3.61328125,-102.89210000
3.62548828,-99.91277000
3.63769531,-98.21085000
3.64990234,-96.88432000
3.66210938,-93.97071000
3.67431641,-92.50358000
3.68652344,-93.37493000
3.69873047,-96.39456000
3.71093750,-99.55887000
3.72314453,-97.50302000
3.73535156,-95.71847000
3.74755859,-95.83731000
3.75976563,-96.05414000
3.77197266,-94.60971000
3.78417969,-92.75975000
3.79638672,-92.63678000
3.80859375,-96.15790000
3.82080078,-117.47390000
3.83300781,-97.38433000
3.84521484,-93.02745000
3.85742188,-93.54764000
3.86962891,-98.61571000
3.88183594,-116.11940000
3.89404297,-105.94590000
3.90625000,-100.01830000
3.91845703,-96.68845000
3.93066406,-95.16570000
3.94287109,-95.58037000
3.95507813,-97.25883000
3.96728516,-99.98893000
3.97949219,-98.62898000
3.99169922,-93.99931000
4.00390625,-93.89844000
4.01611328,-99.02928000
4.02832031,-111.10220000
4.04052734,-116.00300000
4.05273438,-102.02940000
4.06494141,-98.49757000
4.07714844,-99.81866000
4.08935547,-104.31250000
4.10156250,-97.77286000
4.11376953,-93.89667000
4.12597656,-94.28972000
4.13818359,-97.42061000
4.15039063,-99.31174000
4.16259766,-96.14964000
4.17480469,-90.94594000
4.18701172,-88.05161000
4.19921875,-87.62018000
4.21142578,-88.64440000
4.22363281,-89.54904000
4.23583984,-90.31554000
4.24804688,-92.16625000
4.26025391,-94.03728000
4.27246094,-92.93494000
4.28466797,-92.46490000
4.29687500,-94.39831000
4.30908203,-95.20837000
4.32128906,-96.02899000
4.33349609,-105.01170000
4.34570313,-101.40950000
4.35791016,-96.66467000
4.37011719,-97.17026000
4.38232422,-97.11852000
4.39453125,-96.18448000
4.40673828,-96.51763000
4.41894531,-97.95979000
4.43115234,-100.40120000
4.44335938,-106.60440000
4.45556641,-110.40160000
4.46777344,-99.41959000
4.47998047,-94.88344000
4.49218750,-92.25142000
4.50439453,-92.27551000
4.51660156,-96.62801000
4.52880859,-101.09140000
4.54101563,-95.59869000
4.55322266,-94.11075000
4.56542969,-93.55614000
4.57763672,-92.37624000
4.58984375,-92.01774000
4.60205078,-93.02271000
4.61425781,-94.59813000
4.62646484,-95.76488000
4.63867188,-93.83663000
4.65087891,-92.24735000
4.66308594,-93.89083000
4.67529297,-95.79810000
4.68750000,-93.87055000
4.69970703,-93.63242000
4.71191406,-95.10126000
4.72412109,-95.77010000
4.73632813,-95.53086000
4.74853516,-95.31096000
4.76074219,-96.37262000
4.77294922,-94.57366000
4.78515625,-91.31123000
4.79736328,-90.38239000
4.80957031,-91.32996000
4.82177734,-94.74468000
4.83398438,-103.58360000
4.84619141,-97.75279000
4.85839844,-92.88799000
4.87060547,-92.01656000
4.88281250,-93.76990000
4.89501953,-97.62814000
4.90722656,-104.51510000
4.91943359,-102.61630000
4.93164063,-95.45209000
4.94384766,-92.13062000
4.95605469,-91.34151000
4.96826172,-91.43638000
4.98046875,-91.42808000
4.99267578,-92.75921000
5.00488281,-97.03522000
5.01708984,-107.17320000
5.02929688,-104.90950000
5.04150391,-96.87058000
5.05371094,-92.98775000
5.06591797,-91.68266000
5.07812500,-92.81554000
5.09033203,-96.36507000
5.10253906,-100.38860000
5.11474609,-100.92020000
5.12695313,-97.95795000
5.13916016,-98.16199000
5.15136719,-99.41203000
5.16357422,-95.21297000
5.17578125,-94.53862000
5.18798828,-97.50941000
5.20019531,-99.88747000
5.21240234,-99.01912000
5.22460938,-97.30488000
5.23681641,-95.80777000
5.24902344,-94.63245000
5.26123047,-93.54234000
5.27343750,-93.36418000
5.28564453,-95.46752000
5.29785156,-101.38570000
5.31005859,-111.23810000
5.32226563,-110.68690000
5.33447266,-107.97260000
5.34667969,-109.68260000
5.35888672,-106.96470000
5.37109375,-95.24271000
5.38330078,-90.41870000
5.39550781,-88.62650000
5.40771484,-88.29681000
5.41992188,-88.41386000
5.43212891,-88.79681000
5.44433594,-90.05157000
5.45654297,-93.51673000
5.46875000,-102.22370000
5.48095703,-108.13320000
5.49316406,-104.89090000
5.50537109,-107.92100000
5.51757813,-124.39440000
5.52978516,-103.93530000
5.54199219,-98.13678000
5.55419922,-98.09953000
5.56640625,-100.03700000
5.57861328,-94.57280000
5.59082031,-89.59702000
5.60302734,-87.04243000
5.61523438,-86.34695000
5.62744141,-87.02364000
5.63964844,-88.50112000
5.65185547,-89.98308000
5.66406250,-91.07481000
5.67626953,-92.63971000
5.68847656,-95.82478000
5.70068359,-100.87590000
5.71289063,-102.59970000
5.72509766,-101.73340000
5.73730469,-102.58010000
