Frequency,Channel B
(kHz),(dBu)

0.00000000,-27.88726000
0.09536743,-34.05639000
0.19073486,-44.31297000
0.28610229,-57.57257000
0.38146973,-59.89928000
0.47683716,-49.34208000
0.57220459,-46.69956000
0.66757202,-47.73577000
0.76293945,-50.68131000
0.85830688,-53.17159000
0.95367432,-56.76279000
1.04904175,-58.26820000
1.14440918,-52.26550000
1.23977661,-55.07021000
1.33514404,-52.43397000
1.43051147,-47.99246000
1.52587891,-48.24890000
1.62124634,-50.00283000
1.71661377,-65.52838000
1.81198120,-63.64061000
1.90734863,-48.87367000
2.00271606,-47.30739000
2.09808350,-49.39281000
2.19345093,-50.92264000
2.28881836,-55.54764000
2.38418579,-56.85470000
2.47955322,-58.26945000
2.57492065,-49.83039000
2.67028809,-50.93138000
2.76565552,-47.46563000
2.86102295,-50.01343000
2.95639038,-58.72256000
3.05175781,-49.46820000
3.14712524,-60.01496000
3.24249268,-46.99580000
3.33786011,-48.25859000
3.43322754,-49.64550000
3.52859497,-57.59941000
3.62396240,-40.38202000
3.71932983,-46.68286000
3.81469727,-43.72171000
3.91006470,-42.99522000
4.00543213,-39.84460000
4.10079956,-39.65170000
4.19616699,-36.57424000
4.29153442,-32.70845000
4.38690186,-30.09028000
4.48226929,-19.31285000
4.57763672,-5.81003900
4.67300415,1.12733600
4.76837158,1.41910800
4.86373901,-5.06154800
4.95910645,-18.92979000
5.05447388,-26.49531000
5.14984131,-28.50422000
5.24520874,-27.73217000
5.34057617,-25.91191000
5.43594360,-16.11949000
5.53131104,-4.97720800
5.62667847,-0.14262360
5.72204590,-1.62039500
5.81741333,-9.36612200
5.91278076,-22.05767000
6.00814819,-30.29546000
6.10351563,-33.75516000
6.19888306,-37.01321000
6.29425049,-40.07786000
6.38961792,-39.80946000
6.48498535,-43.14927000
6.58035278,-44.95582000
6.67572021,-45.73240000
6.77108765,-43.81806000
6.86645508,-54.47709000
6.96182251,-47.01305000
7.05718994,-49.94954000
7.15255737,-52.42157000
7.24792480,-58.65300000
7.34329224,-46.59839000
7.43865967,-47.79692000
7.53402710,-53.49487000
7.62939453,-56.12331000
7.72476196,-52.27751000
7.82012939,-53.13460000
7.91549683,-52.57424000
8.01086426,-52.07186000
8.10623169,-52.83751000
8.20159912,-54.35715000
8.29696655,-69.65339000
8.39233398,-62.57454000
8.48770142,-52.15744000
8.58306885,-49.82869000
8.67843628,-45.33013000
8.77380371,-46.75625000
8.86917114,-49.82035000
8.96453857,-51.40885000
9.05990601,-61.37748000
9.15527344,-66.95708000
9.25064087,-55.42535000
9.34600830,-60.17532000
9.44137573,-51.20155000
9.53674316,-55.84980000
9.63211060,-57.19129000
9.72747803,-59.62242000
9.82284546,-53.99063000
9.91821289,-56.60867000
10.01358032,-52.03102000
10.10894775,-61.07746000
10.20431519,-57.70383000
10.29968262,-53.81752000
10.39505005,-51.77191000
10.49041748,-53.50210000
10.58578491,-53.39958000
10.68115234,-48.59454000
10.77651978,-53.46538000
10.87188721,-57.68151000
10.96725464,-59.15010000
11.06262207,-58.79842000
11.15798950,-66.74577000
11.25335693,-59.27013000
11.34872437,-57.79723000
11.44409180,-58.61934000
11.53945923,-60.73425000
11.63482666,-63.28310000
11.73019409,-57.37980000
11.82556152,-48.61108000
11.92092896,-47.62525000
12.01629639,-53.80424000
12.11166382,-55.89951000
12.20703125,-49.90838000
12.30239868,-49.67104000
12.39776611,-50.51045000
12.49313354,-50.42757000
12.58850098,-53.04600000
12.68386841,-54.90495000
