Frequency,Channel B
(kHz),(dBu)

0.00000000,-26.44675000
0.09536743,-32.91489000
0.19073486,-44.09230000
0.28610229,-50.42426000
0.38146973,-58.47386000
0.47683716,-52.34716000
0.57220459,-51.07260000
0.66757202,-55.59119000
0.76293945,-67.16925000
0.85830688,-52.34167000
0.95367432,-49.10810000
1.04904175,-51.58548000
1.14440918,-48.69083000
1.23977661,-48.05919000
1.33514404,-50.60055000
1.43051147,-56.05511000
1.52587891,-50.18389000
1.62124634,-49.62022000
1.71661377,-49.76160000
1.81198120,-49.53743000
1.90734863,-49.75531000
2.00271606,-50.79680000
2.09808350,-50.83567000
2.19345093,-51.47429000
2.28881836,-64.66789000
2.38418579,-53.44329000
2.47955322,-52.01639000
2.57492065,-54.44584000
2.67028809,-52.05595000
2.76565552,-57.83955000
2.86102295,-56.74213000
2.95639038,-56.28278000
3.05175781,-46.76767000
3.14712524,-55.47451000
3.24249268,-47.53146000
3.33786011,-55.06419000
3.43322754,-50.81520000
3.52859497,-57.71746000
3.62396240,-49.56196000
3.71932983,-49.37966000
3.81469727,-48.82746000
3.91006470,-42.44852000
4.00543213,-42.70407000
4.10079956,-40.87052000
4.19616699,-39.71750000
4.29153442,-34.84312000
4.38690186,-31.05105000
4.48226929,-19.16887000
4.57763672,-5.83317100
4.67300415,1.03399300
4.76837158,1.19705600
4.86373901,-5.90363800
4.95910645,-35.08335000
5.05447388,-6.70192700
5.14984131,0.18640220
5.24520874,0.01202761
5.34057617,-6.58947700
5.43594360,-19.28462000
5.53131104,-30.75143000
5.62667847,-34.88384000
5.72204590,-41.02688000
5.81741333,-39.36909000
5.91278076,-46.88018000
6.00814819,-43.77231000
6.10351563,-44.85821000
6.19888306,-52.01841000
6.29425049,-49.24192000
6.38961792,-49.65430000
6.48498535,-56.16392000
6.58035278,-53.15531000
6.67572021,-50.37582000
6.77108765,-52.48686000
6.86645508,-53.98743000
6.96182251,-62.41870000
7.05718994,-56.61060000
7.15255737,-63.58412000
7.24792480,-53.25399000
7.34329224,-55.14984000
7.43865967,-45.20103000
7.53402710,-45.67709000
7.62939453,-53.22386000
7.72476196,-68.00643000
7.82012939,-52.47507000
7.91549683,-60.53791000
8.01086426,-61.08300000
8.10623169,-52.64818000
8.20159912,-52.90657000
8.29696655,-51.77029000
8.39233398,-49.53342000
8.48770142,-58.87837000
8.58306885,-54.58573000
8.67843628,-54.76760000
8.77380371,-62.34684000
8.86917114,-52.83646000
8.96453857,-49.84513000
9.05990601,-56.83784000
9.15527344,-63.51141000
9.25064087,-53.84893000
9.34600830,-47.48077000
9.44137573,-48.76312000
9.53674316,-54.58383000
9.63211060,-57.29467000
9.72747803,-53.39872000
9.82284546,-54.24391000
9.91821289,-47.08428000
10.01358032,-45.49415000
10.10894775,-48.26839000
10.20431519,-57.60708000
10.29968262,-54.15161000
10.39505005,-49.24255000
10.49041748,-48.92929000
10.58578491,-52.12588000
10.68115234,-54.24906000
10.77651978,-50.42001000
10.87188721,-50.39791000
10.96725464,-50.22662000
11.06262207,-51.85886000
11.15798950,-52.79014000
11.25335693,-54.29571000
11.34872437,-63.14166000
11.44409180,-51.47477000
11.53945923,-51.59710000
11.63482666,-54.44711000
11.73019409,-55.76794000
11.82556152,-55.32482000
11.92092896,-53.90210000
12.01629639,-53.88444000
12.11166382,-55.17059000
12.20703125,-57.00346000
12.30239868,-55.85752000
12.39776611,-67.58135000
12.49313354,-52.76079000
12.58850098,-53.26711000
12.68386841,-52.66154000
