Frequency,Channel B
(kHz),(dBu)

0.00000000,-27.91573000
0.09536743,-34.19493000
0.19073486,-42.07232000
0.28610229,-44.78003000
0.38146973,-48.27298000
0.47683716,-54.21568000
0.57220459,-56.76355000
0.66757202,-49.69046000
0.76293945,-50.55348000
0.85830688,-46.56519000
0.95367432,-46.04509000
1.04904175,-52.21066000
1.14440918,-64.13087000
1.23977661,-49.38526000
1.33514404,-49.69354000
1.43051147,-57.13198000
1.52587891,-51.49725000
1.62124634,-50.41363000
1.71661377,-68.65311000
1.81198120,-57.87219000
1.90734863,-48.57151000
2.00271606,-50.13280000
2.09808350,-60.80390000
2.19345093,-56.23604000
2.28881836,-45.41769000
2.38418579,-50.49463000
2.47955322,-58.54683000
2.57492065,-56.84665000
2.67028809,-49.24368000
2.76565552,-51.15692000
2.86102295,-51.92672000
2.95639038,-53.33643000
3.05175781,-46.70203000
3.14712524,-54.83411000
3.24249268,-48.16175000
3.33786011,-44.46251000
3.43322754,-48.99935000
3.52859497,-44.30118000
3.62396240,-45.66713000
3.71932983,-44.07126000
3.81469727,-42.45116000
3.91006470,-42.29575000
4.00543213,-43.56667000
4.10079956,-37.93655000
4.19616699,-38.84222000
4.29153442,-35.87926000
4.38690186,-32.63530000
4.48226929,-25.16947000
4.57763672,-11.15148000
4.67300415,-4.12142500
4.76837158,-3.66670600
4.86373901,-9.78410100
4.95910645,-22.87032000
5.05447388,-31.28329000
5.14984131,-36.06896000
5.24520874,-38.08454000
5.34057617,-35.96229000
5.43594360,-43.46556000
5.53131104,-40.86662000
5.62667847,-40.66558000
5.72204590,-40.94421000
5.81741333,-45.46997000
5.91278076,-44.37141000
6.00814819,-42.59569000
6.10351563,-45.29314000
6.19888306,-46.26775000
6.29425049,-46.77411000
6.38961792,-45.19331000
6.48498535,-49.21802000
6.58035278,-43.33131000
6.67572021,-53.87289000
6.77108765,-46.82947000
6.86645508,-46.73338000
6.96182251,-49.32164000
7.05718994,-48.87207000
7.15255737,-51.20891000
7.24792480,-47.51556000
7.34329224,-45.26501000
7.43865967,-52.06802000
7.53402710,-51.77185000
7.62939453,-46.96949000
7.72476196,-47.69714000
7.82012939,-49.24846000
7.91549683,-42.44964000
8.01086426,-48.15314000
8.10623169,-47.63979000
8.20159912,-46.59339000
8.29696655,-56.62310000
8.39233398,-47.19877000
8.48770142,-54.92439000
8.58306885,-48.99450000
8.67843628,-53.26708000
8.77380371,-46.19756000
8.86917114,-51.03004000
8.96453857,-63.14873000
9.05990601,-50.15260000
9.15527344,-47.91979000
9.25064087,-50.71346000
9.34600830,-48.93353000
9.44137573,-51.60041000
9.53674316,-62.71025000
9.63211060,-43.55149000
9.72747803,-50.11703000
9.82284546,-48.13828000
9.91821289,-51.27474000
10.01358032,-44.41467000
10.10894775,-48.59523000
10.20431519,-44.91494000
10.29968262,-45.70219000
10.39505005,-55.70118000
10.49041748,-51.07238000
10.58578491,-47.75294000
10.68115234,-58.02844000
10.77651978,-58.49713000
10.87188721,-52.65482000
10.96725464,-52.29466000
11.06262207,-52.65577000
11.15798950,-48.85081000
11.25335693,-61.24166000
11.34872437,-50.56381000
11.44409180,-57.67750000
11.53945923,-59.07053000
11.63482666,-51.72377000
11.73019409,-56.26361000
11.82556152,-51.56328000
11.92092896,-51.67803000
12.01629639,-46.41188000
12.11166382,-64.94910000
12.20703125,-54.67033000
12.30239868,-56.94521000
12.39776611,-50.34571000
12.49313354,-62.44666000
12.58850098,-51.50388000
