Frequency (Hz),Timeshift (micros)
55.00,47
71.00,46.2
92.00,39.1
127.00,43.1
193.00,43.1
294.00,39.1
448.00,39.5
683.00,39.5
1040.00,37.5
1585.00,36.6
1659.00,35.8
1800.00,35.8
2415.00,34.2
3679.00,31
5606.00,26.2
8541.00,20.7
13013.00,15.1
19826.00,10.3
30206.00,7.04
46020.00,4.84
70115.00,3.24
106825.00,2.06
162755.00,1.29
