Time,Channel B
-80.52735933,0.35126810
-80.44543933,0.35126810
-80.36351933,0.35126810
-80.28159933,0.35126810
-80.19967933,0.35126810
-80.11775933,0.35126810
-80.03583933,0.30732140
-79.95391933,0.35126810
-79.87199933,0.30732140
-79.79007933,0.30732140
-79.70815933,0.30732140
-79.62623933,0.30732140
-79.54431933,0.30732140
-79.46239934,0.30732140
-79.38047934,0.30732140
-79.29855934,0.30732140
-79.21663934,0.30732140
-79.13471934,0.30732140
-79.05279934,0.30732140
-78.97087934,0.30732140
-78.88895934,0.30732140
-78.80703934,0.30732140
-78.72511934,0.30732140
-78.64319934,0.30732140
-78.56127934,0.30732140
-78.47935934,0.30732140
-78.39743934,0.30732140
-78.31551934,0.30732140
-78.23359934,0.30732140
-78.15167934,0.30732140
-78.06975934,0.30732140
-77.98783934,0.30732140
-77.90591934,0.30732140
-77.82399935,0.30732140
-77.74207935,0.30732140
-77.66015935,0.30732140
-77.57823935,0.30732140
-77.49631935,0.30732140
-77.41439935,0.30732140
-77.33247935,0.26322220
-77.25055935,0.30732140
-77.16863935,0.30732140
-77.08671935,0.26322220
-77.00479935,0.26322220
-76.92287935,0.26322220
-76.84095935,0.30732140
-76.75903935,0.26322220
-76.67711935,0.26322220
-76.59519935,0.26322220
-76.51327935,0.26322220
-76.43135935,0.26322220
-76.34943935,0.26322220
-76.26751935,0.26322220
-76.18559936,0.26322220
-76.10367936,0.26322220
-76.02175936,0.26322220
-75.93983936,0.26322220
-75.85791936,0.26322220
-75.77599936,0.21912290
-75.69407936,0.26322220
-75.61215936,0.26322220
-75.53023936,0.26322220
-75.44831936,0.21912290
-75.36639936,0.26322220
-75.28447936,0.21912290
-75.20255936,0.26322220
-75.12063936,0.26322220
-75.03871936,0.21912290
-74.95679936,0.21912290
-74.87487936,0.21912290
-74.79295936,0.21912290
-74.71103936,0.21912290
-74.62911936,0.21912290
-74.54719937,0.21912290
-74.46527937,0.21912290
-74.38335937,0.21912290
-74.30143937,0.17502360
-74.21951937,0.21912290
-74.13759937,0.21912290
-74.05567937,0.17502360
-73.97375937,0.21912290
-73.89183937,0.21912290
-73.80991937,0.17502360
-73.72799937,0.21912290
-73.64607937,0.21912290
-73.56415937,0.17502360
-73.48223937,0.17502360
-73.40031937,0.21912290
-73.31839937,0.21912290
-73.23647937,0.17502360
