Frequency,Channel B
(kHz),(dBu)

0.00000000,-49.31675000
0.09536743,-57.14784000
0.19073486,-67.56603000
0.28610229,-78.97781000
0.38146973,-75.84026000
0.47683716,-74.72313000
0.57220459,-74.64452000
0.66757202,-74.83228000
0.76293945,-68.23965000
0.85830688,-36.51664000
0.95367432,-21.59481000
1.04904175,-16.63070000
1.14440918,-19.63466000
1.23977661,-31.71366000
1.33514404,-57.56744000
1.43051147,-73.94407000
1.52587891,-65.91385000
1.62124634,-88.41025000
1.71661377,-72.65501000
1.81198120,-78.35538000
1.90734863,-82.59143000
2.00271606,-74.37154000
2.09808350,-78.98743000
2.19345093,-80.04250000
2.28881836,-76.59225000
2.38418579,-75.39427000
2.47955322,-71.70373000
2.57492065,-76.32953000
2.67028809,-75.13037000
2.76565552,-75.96414000
2.86102295,-76.66035000
2.95639038,-80.22472000
3.05175781,-75.52832000
3.14712524,-75.53039000
3.24249268,-75.48518000
3.33786011,-73.51785000
3.43322754,-75.06000000
3.52859497,-78.03811000
3.62396240,-76.02701000
3.71932983,-78.96880000
3.81469727,-79.15139000
3.91006470,-92.13042000
4.00543213,-84.10526000
4.10079956,-74.51146000
4.19616699,-80.70095000
4.29153442,-67.75794000
4.38690186,-69.16576000
4.48226929,-53.98288000
4.57763672,-38.61807000
4.67300415,-31.22479000
4.76837158,-30.89268000
4.86373901,-37.78122000
4.95910645,-52.45798000
5.05447388,-66.39912000
5.14984131,-74.93623000
5.24520874,-75.31605000
5.34057617,-76.12787000
5.43594360,-77.86676000
5.53131104,-71.08956000
5.62667847,-74.85006000
5.72204590,-78.52761000
5.81741333,-80.08305000
5.91278076,-82.33061000
6.00814819,-76.10671000
6.10351563,-74.33396000
6.19888306,-73.36592000
6.29425049,-72.02258000
6.38961792,-72.66680000
6.48498535,-77.11648000
6.58035278,-79.69837000
6.67572021,-79.75869000
6.77108765,-76.46561000
6.86645508,-76.40060000
6.96182251,-77.45393000
7.05718994,-77.74776000
7.15255737,-77.28682000
7.24792480,-80.00885000
7.34329224,-81.49919000
7.43865967,-82.39735000
7.53402710,-84.19117000
7.62939453,-87.73782000
7.72476196,-94.35007000
7.82012939,-100.09010000
7.91549683,-85.17194000
8.01086426,-83.38265000
8.10623169,-85.63866000
8.20159912,-77.66670000
8.29696655,-72.24718000
8.39233398,-71.08503000
8.48770142,-74.22301000
8.58306885,-81.92445000
8.67843628,-83.51891000
8.77380371,-80.55779000
8.86917114,-80.30690000
8.96453857,-77.31614000
9.05990601,-77.37102000
9.15527344,-78.17982000
9.25064087,-76.71461000
9.34600830,-73.16183000
9.44137573,-73.26524000
9.53674316,-77.43391000
9.63211060,-80.26091000
9.72747803,-79.30844000
9.82284546,-75.76899000
9.91821289,-75.56573000
10.01358032,-79.09977000
10.10894775,-83.28220000
10.20431519,-81.07413000
10.29968262,-81.33708000
10.39505005,-88.61325000
10.49041748,-78.17580000
10.58578491,-78.59369000
10.68115234,-101.26180000
10.77651978,-82.87407000
10.87188721,-84.93788000
10.96725464,-83.73669000
11.06262207,-79.96128000
11.15798950,-79.74828000
11.25335693,-80.69599000
11.34872437,-80.34019000
11.44409180,-81.74742000
11.53945923,-96.94909000
11.63482666,-88.12442000
11.73019409,-96.12521000
11.82556152,-79.33017000
11.92092896,-75.67311000
12.01629639,-78.71381000
12.11166382,-80.93396000
12.20703125,-76.19415000
12.30239868,-75.94946000
12.39776611,-74.97744000
12.49313354,-73.94630000
12.58850098,-77.54856000
