Time,Channel B
(ms),(V)

-1.00128097,0.09338664
-1.00000097,0.09338664
-0.99872097,0.09338664
-0.99744097,0.09338664
-0.99616097,0.09338664
-0.99488097,-0.08789331
-0.99360097,0.09338664
-0.99232097,-0.08789331
-0.99104097,0.09338664
-0.98976097,0.09338664
-0.98848097,0.09338664
-0.98720097,0.09338664
-0.98592097,0.09338664
-0.98464097,-0.08789331
-0.98336097,0.09338664
-0.98208097,-0.08789331
-0.98080097,0.09338664
-0.97952097,0.09338664
-0.97824097,0.09338664
-0.97696097,-0.08789331
-0.97568097,0.09338664
-0.97440097,0.09338664
-0.97312097,0.09338664
-0.97184097,0.09338664
-0.97056097,-0.08789331
-0.96928097,0.09338664
-0.96800097,0.09338664
-0.96672097,0.09338664
-0.96544097,0.09338664
-0.96416097,0.09338664
-0.96288097,0.09338664
-0.96160097,-0.08789331
-0.96032097,0.09338664
-0.95904097,0.09338664
-0.95776097,0.09338664
-0.95648097,-0.08789331
-0.95520097,0.09338664
-0.95392097,0.09338664
-0.95264097,0.09338664
-0.95136097,0.09338664
-0.95008097,0.09338664
-0.94880097,0.09338664
-0.94752097,0.09338664
-0.94624097,0.09338664
-0.94496097,0.09338664
-0.94368097,0.09338664
-0.94240097,0.09338664
-0.94112097,0.09338664
-0.93984097,0.09338664
-0.93856097,-0.08789331
-0.93728097,0.09338664
-0.93600097,0.09338664
-0.93472097,-0.08789331
-0.93344097,0.09338664
-0.93216097,0.09338664
-0.93088097,-0.08789331
-0.92960097,0.09338664
-0.92832097,0.09338664
-0.92704097,-0.08789331
-0.92576097,0.09338664
-0.92448097,0.09338664
-0.92320097,0.09338664
-0.92192097,0.09338664
-0.92064097,0.09338664
-0.91936097,0.09338664
-0.91808097,-0.08789331
-0.91680097,-0.08789331
-0.91552097,0.09338664
-0.91424097,0.09338664
-0.91296097,-0.08789331
-0.91168097,0.09338664
-0.91040097,-0.08789331
-0.90912097,0.09338664
-0.90784097,0.09338664
-0.90656097,-0.08789331
-0.90528097,0.09338664
-0.90400097,-0.08789331
-0.90272097,0.09338664
-0.90144097,0.09338664
-0.90016097,0.09338664
-0.89888097,0.09338664
-0.89760097,-0.08789331
-0.89632097,0.09338664
-0.89504097,-0.08789331
-0.89376097,-0.08789331
-0.89248097,-0.08789331
-0.89120097,0.09338664
-0.88992097,0.09338664
-0.88864097,0.09338664
-0.88736097,0.09338664
-0.88608097,0.09338664
-0.88480097,0.09338664
-0.88352097,0.09338664
-0.88224097,0.09338664
-0.88096097,0.09338664
-0.87968097,-0.08789331
-0.87840097,0.09338664
-0.87712097,0.09338664
-0.87584097,-0.08789331
-0.87456097,0.09338664
-0.87328097,-0.08789331
-0.87200097,0.09338664
-0.87072097,0.09338664
-0.86944097,0.09338664
-0.86816097,-0.08789331
-0.86688097,0.09338664
-0.86560097,0.09338664
-0.86432097,0.09338664
-0.86304097,0.09338664
-0.86176097,-0.08789331
-0.86048097,0.09338664
-0.85920097,0.09338664
-0.85792097,-0.08789331
-0.85664097,0.09338664
-0.85536097,0.09338664
-0.85408097,-0.08789331
